entloss,TimestepsSoFar,AttC,MtR,entropy,meankl,optimgain,EpisodesSoFar,AttNC,TtR,Fce,surrgain,TimeElapsed
0.0,3759831,0.0,28.6630201976865,-0.15943919,0.0049026767,0.0017930653,16285,3.0,155.55,0.20739999999999997,0.0017930653,13519.295611143112
0.0,3769831,0.175,29.094344470882287,-0.1666017,0.004574949,0.0024440628,16325,2.825,158.325,0.2111,0.0024440628,13546.823291540146
0.0,3779831,0.225,30.5584321061282,-0.17965809,0.00437638,0.0019230077,16365,2.775,165.75,0.22099999999999995,0.0019230077,13574.56317281723
0.0,3789831,0.125,29.810120189775727,-0.15584815,0.0045395154,0.0026525946,16405,2.875,162.075,0.2160999999999999,0.0026525946,13603.49789738655
0.0,3799831,0.225,28.313338760612407,-0.13493918,0.0054269107,0.0026956887,16445,2.775,151.05,0.20139999999999997,0.0026956887,13631.320829153061
0.0,3809831,0.05,26.806855616236213,-0.16256225,0.0051936917,0.0025711288,16485,2.95,144.9,0.19320000000000004,0.0025711288,13660.803392887115
0.0,3819831,0.075,29.663011679129955,-0.18194546,0.0049397903,0.0016951589,16525,2.925,162.15,0.21620000000000003,0.0016951589,13687.895283699036
0.0,3829846,0.0975609756097561,26.112100823295595,-0.15694192,0.008844256,0.002634256,16566,2.902439024390244,144.65853658536585,0.19440650406504068,0.002634256,13715.77227139473
0.0,3839846,0.1,25.722435428775345,-0.17563425,0.005849504,0.0029868882,16606,2.9,141.3,0.18839999999999998,0.0029868882,13743.4275329113
0.0,3849846,0.075,27.090337507280914,-0.16026917,0.0044556493,0.001791069,16646,2.925,148.8,0.19839999999999997,0.001791069,13769.756773233414
0.0,3859853,0.12195121951219512,27.701435285484056,-0.18517071,0.0059647025,0.003406407,16687,2.8780487804878048,148.82926829268294,0.20182578397212542,0.003406407,13798.378737449646
0.0,3869853,0.0,27.50789314610111,-0.20730598,0.0066276356,0.002821049,16727,3.0,148.35,0.1978,0.002821049,13825.424435853958
0.0,3879853,0.025,28.73527789674562,-0.18959586,0.0032478115,0.0017635693,16767,2.975,154.95,0.20660000000000003,0.0017635693,13852.04587507248
0.0,3889853,0.1,28.80797995259265,-0.24035977,0.005922709,0.0027007253,16807,2.9,153.975,0.20530000000000004,0.0027007253,13879.879412412643
0.0,3899853,0.025,29.144562268363604,-0.2658529,0.0061621987,0.0023941314,16847,2.975,157.8,0.2104,0.0023941314,13907.549620628357
0.0,3909858,0.12195121951219512,31.052959541105754,-0.3064568,0.0065730037,0.002711014,16888,2.8780487804878048,169.46341463414635,0.22595121951219507,0.002711014,13933.829581022263
0.0,3919858,0.05,29.1240266239209,-0.2842552,0.0058506946,0.0023049125,16928,2.95,159.15,0.2122,0.0023049125,13961.1842648983
0.0,3929858,0.025,29.613455057337,-0.26132226,0.008149463,0.0036963085,16968,2.975,159.675,0.2129,0.0036963085,13989.28526854515
0.0,3939858,0.025,29.32244288455853,-0.267333,0.003471612,0.0020990514,17008,2.975,159.6,0.21280000000000002,0.0020990514,14016.06870341301
0.0,3949858,0.1,29.442440380037528,-0.24768382,0.0051630842,0.0023665212,17048,2.9,160.875,0.2145,0.0023665212,14043.396954536438
0.0,3959858,0.05,29.63415252567061,-0.25642705,0.004904071,0.0022739726,17088,2.95,161.55,0.21539999999999998,0.0022739726,14071.305288791656
0.0,3969858,0.2,25.075463136410324,-0.27409348,0.0053493963,0.0029806255,17128,2.8,136.8,0.18239999999999998,0.0029806255,14097.884148836136
0.0,3979858,0.175,28.733594242047683,-0.26007,0.004199241,0.0025684275,17168,2.825,156.9,0.20919999999999997,0.0025684275,14123.626942396164
0.0,3989858,0.125,28.133876560998893,-0.28537065,0.0060110027,0.0028355722,17208,2.875,153.975,0.2053000000000001,0.0028355722,14151.245747566223
0.0,3999858,0.1,31.07683546737067,-0.2697943,0.005497168,0.0027198775,17248,2.9,168.825,0.22510000000000002,0.0027198775,14178.561280727386
0.0,4009865,0.14634146341463414,29.87639561517492,-0.2618714,0.0048323665,0.0021410936,17289,2.8536585365853657,160.97560975609755,0.21463414634146344,0.0021410936,14205.558114767075
0.0,4019865,0.225,27.155125026810737,-0.28105053,0.0054754172,0.003132493,17329,2.775,146.7,0.1956,0.003132493,14233.875785827637
0.0,4029865,0.15,26.84966347549406,-0.27009895,0.0047862134,0.0021305592,17369,2.85,145.65,0.19419999999999998,0.0021305592,14262.253779649734
0.0,4039865,0.05,29.899334866348056,-0.26791307,0.0046920497,0.0017724533,17409,2.95,160.05,0.21339999999999995,0.0017724533,14289.574948072433
0.0,4049865,0.075,28.210084382582842,-0.2887131,0.005834655,0.002125018,17449,2.925,154.125,0.20550000000000002,0.002125018,14317.127113103867
0.0,4059865,0.025,31.647796761729865,-0.29510847,0.004821474,0.002708308,17489,2.975,171.525,0.22869999999999996,0.002708308,14342.420811653137
0.0,4069865,0.15,25.813898223704967,-0.32778952,0.005148364,0.0023170747,17529,2.85,138.525,0.18469999999999998,0.0023170747,14368.734890699387
0.0,4079865,0.15,29.405695917793622,-0.28506127,0.0056161094,0.0042006974,17569,2.85,158.85,0.2118,0.0042006974,14394.458231210709
0.0,4089888,0.3488372093023256,27.019665089103512,-0.30113447,0.0056172227,0.0033642014,17612,2.6511627906976742,146.93023255813952,0.1999492600422833,0.0033642014,14420.532917499542
0.0,4099888,0.15,28.998527023714367,-0.29819772,0.0037832926,0.002215163,17652,2.85,157.125,0.20949999999999996,0.002215163,14446.459929466248
0.0,4109897,0.14634146341463414,25.449565787432686,-0.28645185,0.0051539834,0.0028033108,17693,2.8536585365853657,138.4390243902439,0.18719783197831977,0.0028033108,14472.920453310013
0.0,4119897,0.275,25.33453816965682,-0.31842288,0.0053291353,0.0025224823,17733,2.725,138.75,0.185,0.0025224823,14499.800253391266
0.0,4129897,0.2,27.227342262184486,-0.3443023,0.004442379,0.0020969496,17773,2.8,147.825,0.1971,0.0020969496,14526.328170061111
0.0,4139906,0.24390243902439024,25.42893783610515,-0.34190047,0.0055307574,0.0029382624,17814,2.7560975609756095,139.2439024390244,0.18827100271002709,0.0029382624,14553.133468151093
0.0,4149906,0.025,26.88156399356212,-0.30801654,0.0051043313,0.00282459,17854,2.975,148.275,0.19770000000000004,0.00282459,14579.73275589943
0.0,4159906,0.2,27.955460963175806,-0.2724645,0.004487914,0.002610028,17894,2.8,154.725,0.20629999999999998,0.002610028,14605.986068725586
0.0,4169906,0.1,26.562737991507795,-0.27196124,0.004316151,0.0020312387,17934,2.9,143.55,0.19140000000000001,0.0020312387,14631.875212669373
0.0,4179906,0.175,26.09225815605606,-0.29711998,0.0053805686,0.003163658,17974,2.825,140.625,0.18749999999999994,0.003163658,14658.104744434357
0.0,4189906,0.175,25.436142022881167,-0.26388246,0.0061031803,0.0026108848,18014,2.825,139.725,0.1863,0.0026108848,14684.162140130997
0.0,4199906,0.05,28.042414340024283,-0.24357262,0.0074877786,0.0044635604,18054,2.95,157.35,0.2098,0.0044635604,14710.318671941757
0.0,4209941,0.24390243902439024,26.69987715030194,-0.2356101,0.0037173221,0.0020475779,18095,2.7560975609756095,145.97560975609755,0.1976306620209059,0.0020475779,14736.778883218765
0.0,4219961,0.23809523809523808,25.30005606894718,-0.20379254,0.0040770853,0.0028864166,18137,2.761904761904762,140.21428571428572,0.18950264550264556,0.0028864166,14762.191913843155
0.0,4229972,0.12195121951219512,25.60403207481796,-0.17718618,0.0052255285,0.0028258464,18178,2.8780487804878048,141.58536585365854,0.18878048780487805,0.0028258464,14788.554275989532
0.0,4239972,0.1,26.298354297776363,-0.1879327,0.0048021725,0.002653481,18218,2.9,143.1,0.19079999999999997,0.002653481,14814.768257856369
0.0,4249972,0.2,28.137886352761605,-0.16956057,0.0064575947,0.002065517,18258,2.8,153.15,0.20420000000000002,0.002065517,14841.563829898834
0.0,4259972,0.175,27.702082374851443,-0.17770828,0.0057594045,0.0021755933,18298,2.825,152.1,0.2028,0.0021755933,14867.434772968292
0.0,4269972,0.05,27.424722435641712,-0.13976307,0.0062664025,0.002278771,18338,2.95,149.55,0.1994,0.002278771,14893.530755758286
0.0,4279972,0.025,25.456038994374644,-0.17630002,0.00597525,0.0023045475,18378,2.975,136.875,0.18250000000000002,0.0023045475,14919.896482229233
0.0,4289972,0.075,27.400201017899228,-0.15398496,0.008406901,0.0032636798,18418,2.925,147.75,0.197,0.0032636798,14946.470755815506
0.0,4299972,0.1,26.894719522851045,-0.16619717,0.00408831,0.0023169224,18458,2.9,147.375,0.19649999999999995,0.0023169224,14973.567106723785
0.0,4309972,0.1,27.200224778886486,-0.18828236,0.005908148,0.002507691,18498,2.9,148.65,0.19820000000000002,0.002507691,14999.883695840836
