entloss,AttNC,TimestepsSoFar,TtR,AttC,TimeElapsed,Tmc,meankl,entropy,Ptt,EpisodesSoFar,MpbtN,surrgain,optimgain,MtR,MpbtA,Tmt,Tbt
0.0,5.181818181818182,2229981,-118.63636363636364,4.818181818181818,32977.81555008888,49.03030303030303,0.0051647155,0.29034796,54.76625050961242,15993,21.09447981366484,0.0021578525,0.0021578525,-8.413827934058133,78.90552018633512,56.13636363636363,229934.54545454544
0.0,3.8656716417910446,2239940,-108.2089552238806,6.134328358208955,33086.42639565468,50.940298507462686,0.0043408144,0.2777856,53.04246653367189,16060,19.888203856153957,0.0018905787,0.0018905787,-7.912417716077116,80.11179614384605,54.40298507462686,222834.62686567163
0.0,4.757575757575758,2249888,-127.42424242424242,5.242424242424242,33195.72688436508,49.68181818181818,0.004081669,0.26957804,54.19343402616349,16126,22.818509282998733,0.0018108655,0.0018108655,-9.22608522246349,77.18149071700127,55.57575757575758,227638.30303030304
0.0,5.432835820895522,2259977,-112.98507462686567,4.567164179104478,33305.06529164314,50.850746268656714,0.004766354,0.27758875,53.12017286442896,16193,20.73413190404467,0.002564905,0.002564905,-8.207001789178683,79.26586809595528,54.47761194029851,223140.2985074627
0.0,4.875,2269879,-117.96875,5.125,33411.79513883591,49.234375,0.0043613464,0.2957505,54.60387881726284,16257,21.127158700324035,0.0020927482,0.0020927482,-8.455261685944611,78.87284129967593,56.0,229376.0
0.0,4.7846153846153845,2279966,-132.0,5.2153846153846155,33520.54223561287,49.53846153846154,0.0057342364,0.26156786,54.328263047601254,16322,23.62259361010373,0.0024471448,0.0024471448,-9.246194642194395,76.37740638989627,55.723076923076924,228241.72307692308
0.0,4.477611940298507,2289978,-116.71641791044776,5.522388059701493,33629.1704890728,50.71641791044776,0.0042727655,0.25878897,53.24687503455238,16389,21.25208232969769,0.0019321811,0.0019321811,-8.497484976548138,78.74791767030229,54.61194029850746,223690.50746268657
0.0,4.630769230769231,2299898,-124.92307692307692,5.369230769230769,33735.94170165062,49.61538461538461,0.0051831617,0.25386113,54.24809548433095,16454,22.37386988657681,0.002283259,0.002283259,-8.713021527629712,77.62613011342319,55.63076923076923,227863.63076923077
0.0,5.03125,2309912,-132.65625,4.96875,33842.469383478165,47.640625,0.0052778246,0.25583476,56.054478153248624,16518,22.743790151097347,0.0021385616,0.0021385616,-9.258141375648645,77.25620984890264,57.46875,235392.0
0.0,5.701492537313433,2319924,-115.07462686567165,4.298507462686567,33949.45125865936,48.507462686567166,0.004967524,0.23595227,55.253456612030945,16585,20.355698139050734,0.0020526664,0.0020526664,-8.515486048619104,79.64430186094928,56.64179104477612,232004.776119403
0.0,6.015151515151516,2329886,-120.60606060606061,3.984848484848485,34061.14394569397,50.666666666666664,0.004518046,0.2340507,53.29739246988017,16651,22.07344315693342,0.0020948106,0.0020948106,-8.7022244731655,77.92655684306656,54.666666666666664,223914.66666666666
0.0,6.333333333333333,2339964,-118.33333333333333,3.6666666666666665,34173.3744199276,49.121212121212125,0.004692736,0.23000978,54.67220072391925,16717,21.06308205118913,0.001835849,0.001835849,-8.5549707452288,78.93691794881086,56.03030303030303,229500.12121212122
0.0,6.575757575757576,2349985,-128.33333333333334,3.4242424242424243,34286.63004183769,49.96969696969697,0.0050694835,0.2370378,53.92846704397228,16783,23.353381338006873,0.0026200323,0.0026200323,-9.625875633030237,76.64661866199312,55.303030303030305,226521.21212121213
0.0,5.734375,2359895,-124.84375,4.265625,34393.383773088455,49.09375,0.0036281883,0.2457963,54.7304677305127,16847,22.051902918206107,0.001786775,0.001786775,-9.025429139749667,77.94809708179386,56.125,229888.0
0.0,6.208955223880597,2369949,-118.80597014925372,3.791044776119403,34502.13744688034,48.43283582089552,0.003937705,0.2407254,55.33093548009251,16914,20.9402756129992,0.0017953863,0.0017953863,-8.859015598541298,79.05972438700076,56.73134328358209,232371.58208955225
0.0,6.7846153846153845,2379959,-115.07692307692308,3.2153846153846155,34610.820767879486,49.753846153846155,0.004004968,0.26592466,54.08434342583629,16979,20.740019242915075,0.0017561048,0.0017561048,-8.40477633503419,79.2599807570849,55.41538461538462,226981.4153846154
0.0,6.393939393939394,2389910,-128.78787878787878,3.606060606060606,34717.91987872124,48.21212121212121,0.0065157805,0.2860368,55.51991304162406,17045,22.579300118411346,0.0028286169,0.0028286169,-9.34361629386995,77.42069988158867,56.90909090909091,233099.63636363635
0.0,6.3283582089552235,2399951,-121.19402985074628,3.671641791044776,34822.62829494476,48.25373134328358,0.004372504,0.26284066,55.49286344365165,17112,21.272958257974203,0.0018721899,0.0018721899,-8.768814363826998,78.7270417420258,56.8955223880597,233044.05970149254
0.0,5.6716417910447765,2409918,-106.56716417910448,4.3283582089552235,34931.73354649544,50.985074626865675,0.006455073,0.27845812,53.00070546868437,17179,19.702135863138235,0.0029823717,0.0029823717,-7.852072488320133,80.29786413686179,54.35820895522388,222651.223880597
0.0,6.090909090909091,2419897,-136.36363636363637,3.909090909090909,35037.8648622036,47.89393939393939,0.0053883824,0.3036032,55.8326629128047,17245,23.64082450241411,0.002519409,0.002519409,-9.638546385072063,76.35917549758587,57.25757575757576,234527.0303030303
0.0,4.766666666666667,2429926,-162.33333333333334,5.233333333333333,35140.91912484169,45.916666666666664,0.006163595,0.30038822,57.68026040395589,17305,26.81571020751016,0.00252832,0.00252832,-10.526236601528996,73.18428979248984,59.2,242483.2
0.0,5.430769230769231,2439852,-125.53846153846153,4.569230769230769,35246.90373182297,48.52307692307692,0.0051851445,0.23598962,55.21189767956472,17370,22.211891344258554,0.0018995214,0.0018995214,-8.988007792512356,77.78810865574144,56.56923076923077,231707.56923076924
0.0,5.507462686567164,2449921,-114.77611940298507,4.492537313432836,35355.20218038559,50.23880597014925,0.0056570647,0.2623524,53.67816168656838,17437,20.774286822149442,0.002191838,0.002191838,-8.436326215269407,79.22571317785054,55.04477611940298,225463.40298507462
0.0,4.424242424242424,2459872,-121.21212121212122,5.575757575757576,35460.68686294556,48.93939393939394,0.004436202,0.23759589,54.88594788719153,17503,21.18967923718938,0.0022942882,0.0022942882,-8.78946692666413,78.8103207628106,56.303030303030305,230617.21212121213
0.0,4.136363636363637,2469906,-124.0909090909091,5.863636363636363,35564.73531413078,49.13636363636363,0.0041033123,0.23896515,54.67301137225034,17569,22.206572312402905,0.0015314709,0.0015314709,-9.035700543578969,77.7934276875971,56.04545454545455,229562.18181818182
0.0,5.2835820895522385,2479936,-114.32835820895522,4.7164179104477615,35670.261719703674,49.02985074626866,0.0040543647,0.23648362,54.77362956990495,17636,20.33209776628546,0.0018082613,0.0018082613,-8.396992445124217,79.66790223371454,56.149253731343286,229987.3432835821
0.0,5.09375,2489924,-126.09375,4.90625,35774.08855128288,49.375,0.0066553224,0.24774647,54.46397733880693,17700,22.52172679869251,0.0025483714,0.0025483714,-8.866155831685544,77.47827320130749,55.84375,228736.0
0.0,4.203125,2499885,-144.84375,5.796875,35879.58241081238,46.8125,0.0053147203,0.23253766,56.83502566629635,17764,24.372572107345146,0.0021296889,0.0021296889,-9.93925563618699,75.62742789265488,58.296875,238784.0
0.0,5.092307692307692,2509890,-126.3076923076923,4.907692307692308,35985.284965753555,48.292307692307695,0.003931205,0.2349052,55.457510695566164,17829,22.19623133545986,0.0015087164,0.0015087164,-8.984915982786877,77.80376866454016,56.86153846153846,232904.86153846153
0.0,5.569230769230769,2519910,-121.07692307692308,4.430769230769231,36088.12882685661,48.36923076923077,0.004420461,0.23852232,55.38441992720121,17894,21.275597144620438,0.002208737,0.002208737,-8.622880567659776,78.72440285537955,56.784615384615385,232589.78461538462
0.0,5.696969696969697,2529959,-118.18181818181819,4.303030303030303,36193.06083059311,49.878787878787875,0.005606359,0.26755193,53.97820034048762,17960,21.357288338079044,0.0019766279,0.0019766279,-8.522875332470607,78.64271166192096,55.31818181818182,226583.27272727274
0.0,3.746268656716418,2539987,-125.22388059701493,6.253731343283582,36294.10088682175,48.582089552238806,0.0050025056,0.21870822,55.17458186188734,18027,22.112140541840695,0.001839552,0.001839552,-8.69977031522297,77.88785945815931,56.55223880597015,231637.97014925373
0.0,5.597014925373134,2549905,-111.7910447761194,4.402985074626866,36398.763090610504,49.80597014925373,0.004896098,0.2744334,54.09468161180806,18094,20.179039572949893,0.0021683208,0.0021683208,-8.3379681199855,79.82096042705008,55.492537313432834,227297.4328358209
0.0,4.268656716417911,2559978,-122.83582089552239,5.731343283582089,36501.829746723175,49.059701492537314,0.003398807,0.27821347,54.76468792031451,18161,21.728021173211538,0.0019565918,0.0019565918,-8.899327814971663,78.27197882678844,56.16417910447761,230048.4776119403
0.0,2.878787878787879,2569952,-150.6060606060606,7.121212121212121,36605.953233242035,46.93939393939394,0.004875346,0.25906008,56.7066437166657,18227,25.415405371563168,0.0019578296,0.0019578296,-10.136969694623486,74.58459462843683,58.15151515151515,238188.60606060605
0.0,5.014925373134329,2579898,-115.67164179104478,4.985074626865671,36710.57170462608,50.28358208955224,0.004514983,0.27391034,53.622571874200936,18294,21.024582563662968,0.002042289,0.002042289,-8.58479768344943,78.97541743633703,54.97014925373134,225157.73134328358
0.0,4.764705882352941,2589870,-109.55882352941177,5.235294117647059,36816.08688020706,51.220588235294116,0.0043368908,0.297185,52.79722475339537,18362,20.220443809221788,0.0017977866,0.0017977866,-8.039893558212258,79.77955619077825,54.161764705882355,221846.58823529413
0.0,3.671641791044776,2599959,-147.3134328358209,6.3283582089552235,36920.00836420059,47.37313432835821,0.0066512553,0.29327735,56.30581525794006,18429,24.68202828524899,0.0029473475,0.0029473475,-9.86691746994585,75.31797171475097,57.73134328358209,236467.58208955225
0.0,5.134328358208955,2609917,-116.71641791044776,4.865671641791045,37027.53826522827,51.865671641791046,0.0048963707,0.25052533,52.22983002055033,18496,21.862437827386483,0.0020948239,0.0020948239,-8.683929694524048,78.13756217261354,53.61194029850746,219594.50746268657
0.0,7.507462686567164,2619893,-119.25373134328358,2.4925373134328357,37133.76848769188,50.223880597014926,0.005351178,0.27709642,53.685383401402824,18563,21.6868605783586,0.0018868082,0.0018868082,-8.949367194507941,78.31313942164138,55.04477611940298,225463.40298507462
0.0,6.0144927536231885,2629965,-117.97101449275362,3.9855072463768115,37236.11749577522,49.85507246376812,0.0044415975,0.26773888,54.01021381214187,18632,21.202153805684524,0.0019233238,0.0019233238,-8.658217760723657,78.79784619431547,55.36231884057971,226764.0579710145
0.0,6.712121212121212,2639889,-116.06060606060606,3.287878787878788,37345.65042924881,50.56060606060606,0.0029368415,0.2654447,53.39106147759501,18698,21.1975519934537,0.0012758963,0.0012758963,-8.715210185577515,78.80244800654626,54.75757575757576,224287.0303030303
0.0,7.205882352941177,2649939,-115.58823529411765,2.7941176470588234,37452.32229971886,50.26470588235294,0.005479342,0.28356358,53.646323691314436,18766,21.103442881402273,0.002279423,0.002279423,-8.70656024464243,78.8965571185977,55.0,225280.0
0.0,6.3283582089552235,2659939,-107.61194029850746,3.671641791044776,37557.30606031418,49.62686567164179,0.004651373,0.28231457,54.24312190604081,18833,19.390832893275075,0.0014067923,0.0014067923,-8.050450531825526,80.60916710672494,55.62686567164179,227847.64179104476
0.0,4.367647058823529,2669988,-123.52941176470588,5.632352941176471,37660.77032828331,48.76470588235294,0.004370628,0.2855219,55.0087741211024,18901,21.88567870564671,0.0016813591,0.0016813591,-9.178387576615533,78.11432129435326,56.38235294117647,230942.11764705883
0.0,4.2835820895522385,2679871,-116.71641791044776,5.7164179104477615,37763.44006943703,50.38805970149254,0.005273191,0.28913972,53.529809542948776,18968,21.26471475292732,0.0022202195,0.0022202195,-8.707479964473091,78.73528524707265,54.88059701492537,224790.92537313432
0.0,4.144927536231884,2689971,-112.7536231884058,5.855072463768116,37868.56407666206,49.84057971014493,0.004384,0.30978718,54.031132807901365,19037,20.34216061211753,0.0021600523,0.0021600523,-8.226467928999394,79.65783938788245,55.391304347826086,226882.78260869565
0.0,3.696969696969697,2699918,-107.57575757575758,6.303030303030303,37973.65987563133,50.621212121212125,0.0056448486,0.284114,53.31064196168356,19103,19.649658525306492,0.0023373687,0.0023373687,-7.836830364440747,80.3503414746935,54.65151515151515,223852.60606060605
0.0,4.2835820895522385,2709887,-107.31343283582089,5.7164179104477615,38076.539776325226,49.8955223880597,0.0054922816,0.3003537,53.99582635416987,19170,19.387151163520333,0.0024256802,0.0024256802,-7.919290272815819,80.61284883647969,55.37313432835821,226808.35820895524
0.0,4.0,2719955,-113.58208955223881,6.0,38180.10429644585,49.701492537313435,0.0032015448,0.2889901,54.15262193827169,19237,20.282368349176743,0.0015969815,0.0015969815,-8.125429466241881,79.71763165082324,55.507462686567166,227358.5671641791
0.0,4.149253731343284,2729935,-118.50746268656717,5.850746268656716,38286.089151620865,51.59701492537314,0.0039571654,0.28250104,52.45016423263544,19304,21.99670187269773,0.0014807459,0.0014807459,-8.67548452636075,78.00329812730227,53.80597014925373,220389.25373134328
0.0,4.7164179104477615,2739867,-115.97014925373135,5.2835820895522385,38392.33146762848,50.0,0.0039029787,0.28684637,53.889466324925905,19371,20.88206438203464,0.0015864096,0.0015864096,-8.526181760173818,79.11793561796537,55.25373134328358,226319.28358208956
0.0,5.611940298507463,2749938,-114.4776119402985,4.388059701492537,38497.22025990486,50.208955223880594,0.005055467,0.27662167,53.70810451378333,19438,20.793020603936462,0.0019251654,0.0019251654,-8.470849727865277,79.20697939606353,55.07462686567164,225585.67164179104
