entloss,TimeElapsed,AttC,optimgain,AttNC,meankl,surrgain,TimestepsSoFar,entropy,Fce,EpisodesSoFar,MtR,TtR
0.0,88290.73964357376,0.0,0.00088273064,10.0,0.004868854,0.00088273064,2519832,-0.23957929,0.9856999999999996,10491,140.73713201135823,2464.25
0.0,88608.38166499138,0.0,0.0011893645,10.0,0.0054857354,0.0011893645,2529832,-0.21081403,0.9921000000000001,10531,141.71340456118367,2480.25
0.0,88911.0471944809,0.0,0.0018305868,10.0,0.005984486,0.0018305868,2539832,-0.22091137,0.9955000000000002,10571,142.20608782111856,2488.75
0.0,89247.86352992058,0.0,0.001556613,10.0,0.005550803,0.001556613,2549832,-0.18810993,0.9905999999999997,10611,141.5468150107039,2476.5
0.0,89564.05362677574,0.0,0.0012878915,10.0,0.0064381035,0.0012878915,2559832,-0.12535842,0.9949999999999999,10651,142.09852752620304,2487.5
0.0,89896.7543990612,0.0,0.0014217963,10.0,0.006721556,0.0014217963,2569832,-0.09009211,0.9977,10691,142.5475300518254,2494.25
0.0,90213.71391749382,0.0,0.0010411147,10.0,0.0049903323,0.0010411147,2579832,-0.08978206,0.9926000000000001,10731,141.7574472457739,2481.5
0.0,90523.96211671829,0.24390243902439024,0.0010273426,9.75609756097561,0.004034633,0.0010273426,2589839,-0.10012582,0.9778675958188152,10772,138.3041658615839,2419.268292682927
0.0,90808.35400915146,0.0,0.0014949301,10.0,0.0057905833,0.0014949301,2599839,-0.10905738,0.9945999999999999,10812,142.0336682188577,2486.5
0.0,91096.57667040825,0.0,0.0009088527,10.0,0.0040699253,0.0009088527,2609839,-0.08198572,0.9812,10852,139.97283496369283,2453.0
0.0,91400.9647655487,0.0,0.000668621,10.0,0.0027565483,0.000668621,2619839,-0.091171056,0.9736,10892,139.02856873435024,2434.0
0.0,91673.47866010666,0.0,0.0017503568,10.0,0.008239003,0.0017503568,2629839,-0.10084223,0.9617999999999999,10932,137.17752801337207,2404.5
0.0,91963.87449789047,0.0,0.0018319724,10.0,0.0064401263,0.0018319724,2639839,-0.10699951,0.9405000000000001,10972,134.21574073671655,2351.25
0.0,92240.90493893623,0.0,0.0015189374,10.0,0.0047535906,0.0015189374,2649839,-0.07792,0.9464000000000002,11012,135.3782341066463,2366.0
0.0,92516.55159139633,0.0,0.0012393575,10.0,0.00548997,0.0012393575,2659839,-0.090144746,0.9565000000000001,11052,136.68066138554204,2391.25
0.0,92794.4926700592,0.0,0.0013753407,10.0,0.005624263,0.0013753407,2669839,-0.056692746,0.9732000000000001,11092,138.92948251711482,2433.0
0.0,93072.33273792267,0.0,0.0014948781,10.0,0.00802651,0.0014948781,2679839,-0.11132869,0.9750000000000002,11132,139.1267316543523,2437.5
0.0,93356.2284860611,0.0,0.001041105,10.0,0.0056486707,0.001041105,2689839,-0.11180119,0.9853,11172,140.68500588919744,2463.25
0.0,93628.71683597565,0.0,0.0014082617,10.0,0.006036473,0.0014082617,2699839,-0.1123206,0.9888000000000001,11212,141.24039373841214,2472.0
0.0,93915.57728385925,0.0,0.0012477061,10.0,0.005114166,0.0012477061,2709839,-0.11268681,0.9788999999999998,11252,139.82582180795083,2447.25
0.0,94198.38597774506,0.0,0.001420657,10.0,0.0058401623,0.001420657,2719839,-0.107162654,0.9717999999999998,11292,138.7219062798526,2429.5
0.0,94476.37819457054,0.0,0.0012165284,10.0,0.004916613,0.0012165284,2729839,-0.089225784,0.9735999999999997,11332,138.81012966945997,2434.0
0.0,94756.02421736717,0.0,0.001030739,10.0,0.0037607888,0.001030739,2739839,-0.120994404,0.9589999999999999,11372,136.92944194289345,2397.5
0.0,95040.68408155441,0.0,0.0013586578,10.0,0.0077057057,0.0013586578,2749839,-0.13646513,0.9651999999999997,11412,137.9080466403718,2413.0
0.0,95317.9464290142,0.0,0.0013716676,10.0,0.004014648,0.0013716676,2759839,-0.13160516,0.9845999999999998,11452,140.74807451810187,2461.5
0.0,95604.04681324959,0.0,0.0009860699,10.0,0.0060947044,0.0009860699,2769839,-0.15193176,0.9800000000000001,11492,139.97847303637406,2450.0
0.0,95882.2083363533,0.0,0.0009569696,10.0,0.0045258566,0.0009569696,2779839,-0.10604931,0.9908999999999999,11532,141.54944244869165,2477.25
0.0,96164.42454147339,0.0,0.0010386836,10.0,0.0051363446,0.0010386836,2789839,-0.075237535,0.9889000000000001,11572,141.2635175271206,2472.25
0.0,96445.44581103325,0.0,0.0014058538,10.0,0.007176377,0.0014058538,2799839,-0.048300184,0.9898,11612,141.37065576904163,2474.5
