Fce,AttC,meankl,EpisodesSoFar,MtR,TimeElapsed,TimestepsSoFar,TtR,entloss,entropy,AttNC,optimgain,surrgain
0.1699304278288684,6.7317073170731705,0.0023053025,7581,24.318877715385796,17886.67916083336,1829815,418.780487804878,0.0,7.03872,3.268292682926829,-7.3242186e-09,-7.3242186e-09
0.15935884019362279,6.911111111111111,0.01017476,7626,21.745403033080226,17977.472289800644,1839964,372.8888888888889,0.0,6.941101,3.088888888888889,-9.155273e-10,-9.155273e-10
0.17529999999999998,6.1,0.01017476,7666,25.388317007369167,18072.866277694702,1849964,438.25,0.0,6.941101,3.9,-9.155273e-10,-9.155273e-10
0.16929999999999998,6.975,0.00058567524,7706,24.13598498360871,18171.622462034225,1859964,423.25,0.0,6.9655137,3.025,-1.5258789e-10,-1.5258789e-10
0.1679024390243902,6.487804878048781,2.2649765e-06,7747,24.37382328912783,18275.449903964996,1869967,419.7560975609756,0.0,6.96711,3.5121951219512195,6.1035155e-09,6.1035155e-09
0.17273940949935815,5.902439024390244,2.2649765e-06,7788,24.00366016687402,18366.812274456024,1879817,415.1219512195122,0.0,6.96711,4.097560975609756,6.1035155e-09,6.1035155e-09
0.1680418118466899,6.975609756097561,0.0024602725,7829,23.25447490666538,18466.514446020126,1889824,403.1707317073171,0.0,6.9183073,3.024390243902439,1.8310546e-09,1.8310546e-09
0.17495016611295683,6.558139534883721,0.0024602725,7872,23.9117445567219,18557.275302171707,1899899,413.0232558139535,0.0,6.9183073,3.441860465116279,1.8310546e-09,1.8310546e-09
0.1686301801014163,7.0,0.010174744,7915,22.204592299896856,18659.04359602928,1909946,386.51162790697674,0.0,6.820755,3.0,-3.0517577e-09,-3.0517577e-09
0.16355799755799755,7.0,0.010174744,7957,22.459988216845346,18761.560237407684,1919974,392.14285714285717,0.0,6.820755,3.0,-3.0517577e-09,-3.0517577e-09
0.17198620689655172,6.875,0.010174266,7997,24.428804367943435,18858.719945669174,1929753,424.25,0.0,6.723135,3.125,-1.9836426e-09,-1.9836426e-09
0.16463752660063807,6.906976744186046,0.008933034,8040,22.286395519897265,18965.207255125046,1939814,386.04651162790697,0.0,6.820755,3.0930232558139537,1.0223388e-08,1.0223388e-08
0.16387991718426503,6.761904761904762,0.008933034,8082,23.10370546447414,19060.71710753441,1949962,401.1904761904762,0.0,6.820755,3.238095238095238,1.0223388e-08,1.0223388e-08
0.1798,6.025,0.0023053885,8122,25.935532714350625,19165.81244802475,1959962,449.5,0.0,6.869487,3.975,7.629395e-09,7.629395e-09
0.1698784893267652,6.690476190476191,0.01017476,8164,23.10343789136345,19268.753513097763,1969996,402.14285714285717,0.0,6.7719364,3.3095238095238093,1.19018555e-08,1.19018555e-08
0.1779,6.275,0.01017476,8204,25.618671457273358,19364.75311779976,1979996,444.75,0.0,6.7719364,3.725,1.19018555e-08,1.19018555e-08
0.1618,6.925,0.008933034,8244,22.961268415776193,19462.94398665428,1989996,404.5,0.0,6.869487,3.075,-1.6784668e-09,-1.6784668e-09
0.16952167832167828,6.525,0.008933196,8284,24.29486212285997,19560.97579598427,1999889,420.25,0.0,6.96711,3.475,3.6621093e-09,3.6621093e-09
0.17611350961533903,6.431818181818182,0.008933196,8328,24.104335233370765,19650.637257814407,2009963,414.54545454545456,0.0,6.96711,3.5681818181818183,3.6621093e-09,3.6621093e-09
0.16400410116199587,6.928571428571429,0.008933196,8370,23.001128412390262,19742.599789619446,2019806,400.0,0.0,6.96711,3.0714285714285716,3.6621093e-09,3.6621093e-09
0.15811688311688313,7.0,0.008933196,8414,21.459330262121547,19833.435913324356,2029932,372.5,0.0,6.96711,3.0,3.6621093e-09,3.6621093e-09
0.15870000000000004,6.95,0.008933077,8454,22.72035341050279,19938.827850580215,2039932,396.75,0.0,7.0646257,3.05,1.5258789e-10,1.5258789e-10
0.16612531328320798,6.309523809523809,0.008933067,8496,23.996649194985412,20028.207100868225,2049970,409.5238095238095,0.0,7.1622458,3.6904761904761907,8.8500975e-09,8.8500975e-09
0.16466576250156928,6.767441860465116,0.008933067,8539,22.767077681717065,20129.82529091835,2059840,392.5581395348837,0.0,7.1622458,3.2325581395348837,8.8500975e-09,8.8500975e-09
