TimestepsSoFar,EpisodesSoFar,Ptt,Tmc,meankl,TtR,entropy,Tmt,entloss,surrgain,optimgain,AttNC,TimeElapsed,MtR,Tbt,AttC,MpbtN,MpbtA
659982,5909,80.16411270963003,21.526315789473685,0.009883595,-65.78947368421052,0.27001524,82.44736842105263,0.0,0.0047279024,0.0047279024,0.868421052631579,15262.084834814072,-36.4552487513335,337704.4210526316,0.13157894736842105,79.75426582922566,20.24573417077432
669799,5948,79.91855153489708,21.794871794871796,0.0060063708,-66.15384615384616,0.26934847,82.2051282051282,0.0,0.0025131216,0.0025131216,0.5384615384615384,15370.820319890976,-37.73021556468726,336712.2051282051,0.46153846153846156,80.4606589129204,19.53934108707963
679859,5991,79.97656923155456,21.72093023255814,0.0060311584,-66.23255813953489,0.24729384,82.20930232558139,0.0,0.0030170502,0.0030170502,0.5116279069767442,15487.083050251007,-38.283776410642965,336729.3023255814,0.4883720930232558,80.59312110200621,19.40687889799382
689724,6030,80.25344253279104,21.435897435897434,0.0071399873,-65.6923076923077,0.26986778,82.56410256410257,0.0,0.0039022155,0.0039022155,0.7948717948717948,15595.915014505386,-37.5102870477463,338182.5641025641,0.20512820512820512,79.54144529307747,20.458554706922488
699921,6072,80.25440817655205,21.428571428571427,0.0075790854,-65.83333333333333,0.2252138,82.54761904761905,0.0,0.005430664,0.005430664,0.6190476190476191,15707.10013461113,-37.438139185407834,338115.04761904763,0.38095238095238093,79.73961847426833,20.260381525731642
709880,6110,79.72478490324312,22.0,0.0080709485,-64.86842105263158,0.24974765,81.97368421052632,0.0,0.004541533,0.004541533,0.8947368421052632,15812.161163568497,-36.16473910625627,335764.2105263158,0.10526315789473684,79.12474779175096,20.875252208249034
719824,6150,80.49197131694092,21.175,0.0066234497,-65.975,0.24432667,82.8,0.0,0.0021839866,0.0021839866,0.8,15922.263960123062,-37.58912716256431,339148.8,0.2,79.70056238916185,20.299437610838176
729926,6189,79.82343224282752,21.897435897435898,0.00867882,-64.6923076923077,0.24416062,82.1025641025641,0.0,0.005785887,0.005785887,0.9487179487179487,16027.93809223175,-36.87714602884546,336292.10256410256,0.05128205128205128,78.79027174923844,21.209728250761575
739754,6227,79.42516053388495,22.31578947368421,0.009746765,-63.973684210526315,0.20347653,81.63157894736842,0.0,0.003950841,0.003950841,0.8157894736842105,16135.838154792786,-36.21397305977573,334362.94736842107,0.18421052631578946,78.30777246863414,21.692227531365848
749906,6266,80.1998644461684,21.487179487179485,0.008049155,-66.1025641025641,0.19704475,82.48717948717949,0.0,0.0027957824,0.0027957824,0.8974358974358975,16243.378142356873,-37.70491967348272,337867.4871794872,0.10256410256410256,80.16146321734676,19.83853678265324
