TimestepsSoFar,TimeElapsed,meankl,entloss,Fce,entropy,optimgain,AttNC,surrgain,EpisodesSoFar,TtR,AttC,MtR
1779944,23148.5033121109,0.008933196,0.0,0.1759530261969286,8.037565,-9.727478e-09,3.5365853658536586,-9.727478e-09,7487,435.8536585365854,6.463414634146342,24.977083180091995
1789965,23265.777312755585,0.008933196,0.0,0.1553867595818815,8.037565,-9.727478e-09,2.658536585365854,-9.727478e-09,7528,380.4878048780488,7.341463414634147,21.882210088453846
1799965,23392.6447827816,0.008933196,0.0,0.1613,8.037565,-9.727478e-09,2.95,-9.727478e-09,7568,403.25,7.05,23.14020315566398
1809984,23517.262667655945,0.008933196,0.0,0.18425673940949935,8.037565,-9.727478e-09,3.8536585365853657,-9.727478e-09,7609,448.780487804878,6.146341463414634,25.87004117586617
1819807,23630.07068157196,0.008933204,0.0,0.1533137973137973,8.135133,-9.307861e-09,2.9047619047619047,-9.307861e-09,7651,357.3809523809524,7.095238095238095,20.499587292078427
1829857,23752.303238391876,0.008933204,0.0,0.16398641880994816,8.135133,-9.307861e-09,3.1904761904761907,-9.307861e-09,7693,403.57142857142856,6.809523809523809,23.332468224882852
1839867,23873.928497314453,0.008933204,0.0,0.15540136054421771,8.135133,-9.307861e-09,2.9047619047619047,-9.307861e-09,7735,380.23809523809524,7.095238095238095,21.63336630389682
1849867,23982.764392137527,0.008933204,0.0,0.16749999999999995,8.135133,-9.307861e-09,3.35,-9.307861e-09,7775,418.75,6.65,24.18373497487365
1859913,24106.182487249374,0.008933204,0.0,0.17358210340666483,8.135133,-9.307861e-09,3.4285714285714284,-9.307861e-09,7817,418.3333333333333,6.571428571428571,24.013004140823437
1869980,24228.931715011597,0.008933204,0.0,0.15114151718802882,8.135133,-9.307861e-09,2.5348837209302326,-9.307861e-09,7860,365.5813953488372,7.465116279069767,21.085403040440674
1879760,24344.941507577896,0.008933204,0.0,0.1555029036004646,8.232762,-9.460449e-09,3.3902439024390243,-9.460449e-09,7901,386.0975609756098,6.609756097560975,22.321719312546637
1889765,24467.010830402374,0.008933204,0.0,0.16741463414634147,8.232762,-9.460449e-09,3.1463414634146343,-9.460449e-09,7942,406.5853658536585,6.853658536585366,23.285299675554597
1899785,24588.729538440704,0.008933204,0.0,0.15158730158730158,8.232762,-9.460449e-09,2.9047619047619047,-9.460449e-09,7984,375.23809523809524,7.095238095238095,21.73338792242758
1909785,24706.384724855423,0.008933204,0.0,0.18080000000000002,8.232762,-9.460449e-09,4.075,-9.460449e-09,8024,452.0,5.925,25.89447867888047
1919785,24821.255393981934,0.008933204,0.0,0.1704,8.232762,-9.460449e-09,3.45,-9.460449e-09,8064,426.0,6.55,24.159487870916315
1929785,24939.866834163666,0.008933204,0.0,0.17780000000000004,8.232762,-9.460449e-09,4.0,-9.460449e-09,8104,444.5,6.0,25.464317199331767
1939785,25065.139236450195,0.008933204,0.0,0.16770000000000004,8.330224,-1.1062622e-08,3.375,-1.1062622e-08,8144,419.25,6.625,24.288639000203755
1949936,25176.560742855072,0.008933204,0.0,0.17223522042126688,8.330224,-1.1062622e-08,3.2790697674418605,-1.1062622e-08,8187,406.51162790697674,6.72093023255814,23.06662351328547
1959946,25304.272732257843,0.008933204,0.0,0.17171428571428574,8.330224,-1.1062622e-08,3.357142857142857,-1.1062622e-08,8229,405.95238095238096,6.642857142857143,23.381264967597662
1969777,25410.94307422638,0.008933204,0.0,0.16530370370370367,8.330224,-1.1062622e-08,2.825,-1.1062622e-08,8269,407.0,7.175,23.05703221871722
1979818,25531.008019447327,0.008933204,0.0,0.1710719809637121,8.330224,-1.1062622e-08,3.024390243902439,-1.1062622e-08,8310,421.4634146341463,6.975609756097561,24.057881170990235
1989924,25639.388613462448,0.008933204,0.0,0.15782840709143836,8.330224,-1.1062622e-08,2.5454545454545454,-1.1062622e-08,8354,355.90909090909093,7.454545454545454,20.79058630399298
