EpisodesSoFar,AttNC,MtR,TimeElapsed,TimestepsSoFar,optimgain,Fce,entloss,surrgain,AttC,TtR,meankl,entropy
14704,0.9523809523809523,17.084913590551118,13342.295638799667,3039914,0.0049773436,0.12047619047619047,0.0,0.0049773436,0.047619047619047616,30.11904761904762,0.0032143176,0.45048365
14749,0.8888888888888888,16.432018039534146,13384.676871538162,3049919,0.004749573,0.1160888888888889,0.0,0.004749573,0.1111111111111111,29.022222222222222,0.002715649,0.45191807
14792,0.9302325581395349,17.386433012207334,13426.303369998932,3059922,0.00527045,0.12269767441860471,0.0,0.00527045,0.06976744186046512,30.674418604651162,0.004195121,0.42999274
14835,0.9302325581395349,16.834948832000965,13472.370901823044,3069925,0.005452611,0.11758139534883723,0.0,0.005452611,0.06976744186046512,29.3953488372093,0.0036351448,0.44117916
14881,0.8695652173913043,16.287337930934736,13516.918675661087,3079957,0.0052727493,0.12310551741673025,0.0,0.0052727493,0.13043478260869565,29.347826086956523,0.0034161194,0.43841636
14923,0.9523809523809523,16.742027435001226,13561.675604104996,3089959,0.0044539315,0.11628571428571431,0.0,0.0044539315,0.047619047619047616,29.071428571428573,0.0031659724,0.4532743
14972,0.8163265306122449,15.190714604023835,13609.065774917603,3099968,0.0053574396,0.10677551020408166,0.0,0.0053574396,0.1836734693877551,26.693877551020407,0.0043576215,0.43035528
15014,0.9523809523809523,16.573079909985,13648.556508302689,3109970,0.006019281,0.11561904761904762,0.0,0.006019281,0.047619047619047616,28.904761904761905,0.004328391,0.42707413
15056,0.9523809523809523,17.306941733335588,13691.983996868134,3119972,0.0041865297,0.12152380952380955,0.0,0.0041865297,0.047619047619047616,30.38095238095238,0.0026605441,0.43905556
15100,0.9090909090909091,17.94478691137003,13735.47032737732,3129976,0.0048428164,0.12272727272727274,0.0,0.0048428164,0.09090909090909091,30.681818181818183,0.004485435,0.42099023
15142,0.9285714285714286,17.067388261224174,13780.515421152115,3139771,0.0062500197,0.11967884828349948,0.0,0.0062500197,0.07142857142857142,29.69047619047619,0.0040647364,0.42952383
15186,0.9090909090909091,16.349547889235456,13829.032955884933,3149783,0.005051088,0.1157070707070707,0.0,0.005051088,0.09090909090909091,28.318181818181817,0.0032866143,0.42524794
15232,0.8695652173913043,15.831515692658499,13872.828901052475,3159791,0.005822681,0.10913043478260873,0.0,0.005822681,0.13043478260869565,27.282608695652176,0.00428218,0.43983564
15276,0.9090909090909091,16.702545002380973,13913.953955888748,3169795,0.0053655882,0.1191818181818182,0.0,0.0053655882,0.09090909090909091,29.795454545454547,0.0045046755,0.47033697
15320,0.9090909090909091,16.779885968647847,13954.470452785492,3179801,0.005339888,0.11609090909090912,0.0,0.005339888,0.09090909090909091,29.022727272727273,0.004555174,0.50098825
15366,0.8478260869565217,15.923450764838961,14002.751890659332,3189800,0.0056830514,0.11117678605631105,0.0,0.0056830514,0.15217391304347827,27.73913043478261,0.0059412774,0.49748793
15416,0.8,14.088684113233592,14048.85532283783,3199820,0.0053273207,0.10922666666666668,0.0,0.0053273207,0.2,24.68,0.0039917855,0.4759315
15461,0.8888888888888888,16.414733887124733,14094.364248275757,3209839,0.0049742493,0.12019393939393944,0.0,0.0049742493,0.1111111111111111,28.6,0.004124716,0.4964911
15507,0.8695652173913043,16.888545948548586,14142.01998591423,3219875,0.0041286196,0.14214092953523244,0.0,0.0041286196,0.13043478260869565,29.956521739130434,0.0025063816,0.48561582
15550,0.9302325581395349,16.754274095109782,14183.84170126915,3229880,0.005253197,0.1409302325581395,0.0,0.005253197,0.06976744186046512,29.441860465116278,0.0029114608,0.5025048
15597,0.851063829787234,15.790910203226348,14229.788208007812,3239903,0.005237172,0.11227495908346972,0.0,0.005237172,0.14893617021276595,27.680851063829788,0.0069848257,0.4788384
15643,0.8695652173913043,16.83814865437599,14271.989133358002,3249933,0.0047288924,0.1396796338672769,0.0,0.0047288924,0.13043478260869565,28.97826086956522,0.0037274873,0.48458868
15684,0.975609756097561,17.085097803497987,14316.863135576248,3259934,0.004996479,0.11990243902439028,0.0,0.004996479,0.024390243902439025,29.975609756097562,0.004179077,0.48357892
15728,0.9090909090909091,16.40166381435957,14364.18104338646,3269948,0.005094908,0.12072727272727275,0.0,0.005094908,0.09090909090909091,29.068181818181817,0.004684885,0.45567816
15771,0.9302325581395349,17.157366882284045,14407.958389043808,3279951,0.004403479,0.12167441860465117,0.0,0.004403479,0.06976744186046512,30.41860465116279,0.0029708382,0.45445722
15814,0.9302325581395349,17.837225231246375,14451.260525465012,3289954,0.004841536,0.12455813953488373,0.0,0.004841536,0.06976744186046512,31.13953488372093,0.0033758313,0.46129015
15862,0.8333333333333334,15.151668211957107,14494.93214917183,3299962,0.005969101,0.12683333333333327,0.0,0.005969101,0.16666666666666666,26.520833333333332,0.0037015507,0.46923834
15907,0.8666666666666667,15.863348772955163,14537.833819389343,3309782,0.0049789506,0.119715719406042,0.0,0.0049789506,0.13333333333333333,27.444444444444443,0.0040130797,0.46768212
15950,0.9302325581395349,17.3425163370656,14581.74891591072,3319785,0.0043161283,0.12130232558139535,0.0,0.0043161283,0.06976744186046512,30.325581395348838,0.003912684,0.4564007
15994,0.9090909090909091,17.035417630745176,14623.34252524376,3329789,0.0061622313,0.11972727272727274,0.0,0.0061622313,0.09090909090909091,29.931818181818183,0.004575049,0.4765519
16039,0.8888888888888888,16.505785750837585,14671.38376569748,3339812,0.0051019522,0.12195087719298245,0.0,0.0051019522,0.1111111111111111,28.866666666666667,0.0031405503,0.47913837
16085,0.8695652173913043,15.551920305453562,14722.131548166275,3349854,0.0053811,0.123113249699261,0.0,0.0053811,0.13043478260869565,27.695652173913043,0.004222388,0.46399257
16127,0.9523809523809523,17.42717197078091,14765.132760286331,3359856,0.004136629,0.1230476190476191,0.0,0.004136629,0.047619047619047616,30.761904761904763,0.0029669406,0.44233522
16170,0.9302325581395349,17.296106655458136,14804.447271347046,3369861,0.004863052,0.12130232558139535,0.0,0.004863052,0.06976744186046512,30.325581395348838,0.0034918755,0.45970646
16215,0.8888888888888888,16.77662316250585,14843.853671312332,3379932,0.0039020698,0.12303396586704858,0.0,0.0039020698,0.1111111111111111,29.488888888888887,0.0034583549,0.46795592
16257,0.9523809523809523,17.428293361031024,14888.723293066025,3389934,0.003769873,0.1205714285714286,0.0,0.003769873,0.047619047619047616,30.142857142857142,0.0030866123,0.46447667
