EpisodesSoFar,TtR,Fce,TimestepsSoFar,TimeElapsed,MtR,optimgain,entloss,AttNC,surrgain,meankl,AttC,entropy
15820,82.1086956521739,0.11438622247317903,3459791,17851.72881770134,15.39020549757823,0.00093865074,0.0,1.6956521739130435,0.00093865074,0.0015944161,1.3043478260869565,1.3568963
15868,73.8125,0.11173396924712718,3469901,17904.611491441727,13.94768097991171,0.0005720965,0.0,1.6458333333333333,0.0005720965,0.00090249314,1.3541666666666667,1.3420315
15916,73.375,0.10273230333985554,3479816,17956.34774827957,14.273868039288843,0.0014800796,0.0,1.625,0.0014800796,0.0060159527,1.375,1.3370734
15957,75.07317073170732,0.1000975609756098,3489817,18006.636536359787,14.575669812288183,0.00029484075,0.0,2.292682926829268,0.00029484075,0.002177718,0.7073170731707317,1.36156
15998,91.2439024390244,0.12165853658536589,3499820,18060.352283477783,17.49457839332023,0.00029708486,0.0,1.7804878048780488,0.00029708486,0.00055118644,1.2195121951219512,1.3590935
16041,77.30232558139535,0.10629900332225917,3509829,18110.95180106163,14.717812548427315,0.0020772552,0.0,1.8604651162790697,0.0020772552,0.0060856375,1.1395348837209303,1.3658563
16083,83.57142857142857,0.12010989010989015,3519855,18164.903071641922,15.844082316152097,0.0007708445,0.0,1.5714285714285714,0.0007708445,0.0040924773,1.4285714285714286,1.360349
16126,80.37209302325581,0.11084690115699414,3529932,18216.27437019348,15.434567346336648,0.0009700246,0.0,1.7674418604651163,0.0009700246,0.0011673345,1.2325581395348837,1.3537973
16168,80.85714285714286,0.11364936364936369,3539978,18269.589122772217,15.656082803054435,0.0011099464,0.0,1.8095238095238095,0.0011099464,0.0040022675,1.1904761904761905,1.3708497
16208,88.575,0.11972307692307696,3549767,18320.78293323517,16.74446701943436,0.0011276159,0.0,1.8,0.0011276159,0.0022486844,1.2,1.3919789
16253,78.06666666666666,0.1050582010582011,3559804,18369.654206991196,14.610716057000229,0.00041240922,0.0,1.711111111111111,0.00041240922,0.0016827164,1.288888888888889,1.3728147
16298,77.8,0.10629189189189191,3569847,18423.466900587082,14.780290561360282,0.00032771708,0.0,1.8666666666666667,0.00032771708,0.0012110773,1.1333333333333333,1.3983513
16342,80.25,0.13712121212121217,3579853,18473.425934791565,15.200962839750035,0.00203019,0.0,1.7272727272727273,0.00203019,0.009303868,1.2727272727272727,1.4060422
16385,87.62790697674419,0.14411057125336102,3589900,18525.747315883636,16.934561412629805,0.0005411784,0.0,1.627906976744186,0.0005411784,0.004101199,1.372093023255814,1.3921732
16427,84.07142857142857,0.11556892230576443,3599922,18577.83063864708,15.696147345300497,0.00015592753,0.0,1.5952380952380953,0.00015592753,0.008733606,1.4047619047619047,1.3933561
16470,77.02325581395348,0.10725581395348839,3609935,18632.52234005928,14.588970113654161,0.0006692052,0.0,1.9069767441860466,0.0006692052,0.0026743694,1.0930232558139534,1.4123507
16517,75.76595744680851,0.10675487716288719,3619994,18684.18761587143,14.279403107757217,0.0009819753,0.0,1.7446808510638299,0.0009819753,0.0030665149,1.2553191489361701,1.415807
16559,86.28571428571429,0.11936837540116234,3629817,18736.66148352623,16.59899140564299,0.0012583531,0.0,1.7142857142857142,0.0012583531,0.0067910706,1.2857142857142858,1.4314747
16603,85.9090909090909,0.12270260092496733,3639752,18789.664182662964,16.513906787437488,0.0013671514,0.0,1.6136363636363635,0.0013671514,0.006447324,1.3863636363636365,1.4098737
