TimestepsSoFar,TimeElapsed,meankl,Fce,TtR,entropy,MtR,EpisodesSoFar,surrgain,AttNC,entloss,AttC,optimgain
1979915,6127.028295516968,0.007341687,0.1497,37.425,-0.060034107,21.201186453831376,9131,0.0063429167,1.0,0.0,0.0,0.0063429167
1989915,6157.154803037643,0.0058131027,0.13940000000000002,34.85,-0.053693652,19.714024629570325,9171,0.0030605462,1.0,0.0,0.0,0.0030605462
1999953,6187.8653683662415,0.008206074,0.14564736164736164,35.45238095238095,-0.027378082,20.274005085290106,9213,0.0047239503,0.9523809523809523,0.0,0.047619047619047616,0.0047239503
2009953,6218.55294919014,0.006417743,0.14089999999999997,35.225,-0.0028073788,19.8614355997044,9253,0.0045291036,1.0,0.0,0.0,0.0045291036
2019968,6248.624738454819,0.0045761843,0.14591869918699188,36.09756097560975,-0.017157532,20.31449974973813,9294,0.004070979,0.975609756097561,0.0,0.024390243902439025,0.004070979
2029969,6279.308523416519,0.0069900327,0.14760975609756097,36.90243902439025,-0.012442589,20.888641909113296,9335,0.0058922973,0.975609756097561,0.0,0.024390243902439025,0.0058922973
2039971,6310.067352294922,0.006241111,0.1361904761904762,34.04761904761905,-0.029591238,19.167178916197535,9377,0.004056405,0.9523809523809523,0.0,0.047619047619047616,0.004056405
2049972,6340.604083538055,0.0053241653,0.14039024390243904,35.09756097560975,-0.01319206,20.085941764512004,9418,0.004117824,0.975609756097561,0.0,0.024390243902439025,0.004117824
2059972,6370.84411239624,0.007974997,0.1504,37.6,-0.002904892,21.03640961237538,9458,0.005973296,1.0,0.0,0.0,0.005973296
2069975,6401.480826616287,0.0064713424,0.13832558139534884,34.58139534883721,0.010141524,19.779913685528093,9501,0.004421679,0.9302325581395349,0.0,0.06976744186046512,0.004421679
2079976,6432.651091575623,0.0053140293,0.14712195121951221,36.78048780487805,0.029032834,20.7515216712988,9542,0.0034750274,0.975609756097561,0.0,0.024390243902439025,0.0034750274
2089978,6463.434660434723,0.005627277,0.12961904761904766,32.404761904761905,0.04712867,18.129750494331386,9584,0.004624013,0.9523809523809523,0.0,0.047619047619047616,0.004624013
2099980,6493.787019729614,0.0059826034,0.1304761904761905,32.61904761904762,0.062319238,18.519678230732865,9626,0.0049205446,0.9523809523809523,0.0,0.047619047619047616,0.0049205446
2109981,6525.339191198349,0.007045479,0.13639024390243903,34.09756097560975,0.046821587,19.34877221101901,9667,0.004396507,0.975609756097561,0.0,0.024390243902439025,0.004396507
2119981,6556.087431192398,0.0048987297,0.1427,35.675,0.047784932,20.475500267507194,9707,0.0042660204,1.0,0.0,0.0,0.0042660204
2129982,6586.315044641495,0.005034625,0.1415609756097561,35.390243902439025,0.043121472,20.206804699326092,9748,0.004395546,0.975609756097561,0.0,0.024390243902439025,0.004395546
2139982,6616.4647097587585,0.007499391,0.1376,34.4,0.021896081,19.51275102276891,9788,0.0058296425,1.0,0.0,0.0,0.0058296425
2149982,6647.299554347992,0.0049757943,0.14000000000000004,35.0,0.05649991,19.76300580252196,9828,0.0038385743,1.0,0.0,0.0,0.0038385743
2159982,6677.6301810741425,0.0055507463,0.1387,34.675,0.050436027,19.683768659216764,9868,0.0049066343,1.0,0.0,0.0,0.0049066343
2169984,6708.850455999374,0.0056659253,0.14676190476190476,36.69047619047619,0.05378512,21.021507471840913,9910,0.0053818678,0.9523809523809523,0.0,0.047619047619047616,0.0053818678
2179984,6739.454892396927,0.0045496267,0.14519999999999997,36.3,0.040967934,20.8242158521919,9950,0.003479277,1.0,0.0,0.0,0.003479277
2189985,6770.084023237228,0.0059596733,0.13239024390243903,33.09756097560975,0.024901452,18.745055945035652,9991,0.0051769647,0.975609756097561,0.0,0.024390243902439025,0.0051769647
2199987,6801.550491094589,0.006651522,0.14342857142857143,35.857142857142854,0.0026545525,20.191586441999686,10033,0.005941563,0.9523809523809523,0.0,0.047619047619047616,0.005941563
2209988,6831.909854412079,0.004522919,0.13219512195121952,33.048780487804876,0.009870685,18.98503806116751,10074,0.003919661,0.975609756097561,0.0,0.024390243902439025,0.003919661
2219988,6862.763477325439,0.0063335886,0.1457,36.425,0.01752177,20.426141515965842,10114,0.0049064904,1.0,0.0,0.0,0.0049064904
2229988,6893.1875059604645,0.0052918345,0.14780000000000001,36.95,0.016785009,21.032572857540423,10154,0.0034482232,1.0,0.0,0.0,0.0034482232
2239988,6924.112220525742,0.0058709625,0.14470000000000002,36.175,0.040075768,20.57071606442626,10194,0.004991179,1.0,0.0,0.0,0.004991179
2249755,6954.976813077927,0.0052015497,0.13203174603174606,32.26190476190476,0.039780993,18.572365191594255,10236,0.005290734,0.9285714285714286,0.0,0.07142857142857142,0.005290734
2259756,6985.357344865799,0.0057529397,0.14175609756097557,35.4390243902439,0.044763565,20.227940113248064,10277,0.0045736753,0.975609756097561,0.0,0.024390243902439025,0.0045736753
2269756,7015.912422418594,0.0052964864,0.1386,34.65,0.037065003,19.715514639279252,10317,0.0036731109,1.0,0.0,0.0,0.0036731109
2279756,7046.392809867859,0.0064751497,0.1428,35.7,0.03927978,20.018238374508115,10357,0.005910981,1.0,0.0,0.0,0.005910981
2289766,7077.763475179672,0.0061137327,0.1396931216931217,34.285714285714285,0.017272018,19.656491986131236,10399,0.004981787,0.9523809523809523,0.0,0.047619047619047616,0.004981787
