TimestepsSoFar,Fce,meankl,optimgain,entloss,AttNC,AttC,MtR,TimeElapsed,EpisodesSoFar,surrgain,entropy,TtR
2469780,0.21989999999999993,0.0090850415,0.0011600431,0.0,2.925,0.075,30.991063650425765,10192.897596359253,10853,0.0011600431,-0.2726297,164.925
2479780,0.2138,0.009396039,0.0015886048,0.0,2.975,0.025,30.185397841141288,10232.338528633118,10893,0.0015886048,-0.34417957,160.35
2489979,0.2292226988601544,0.0069407513,0.0067392294,0.0,2.926829268292683,0.07317073170731707,32.07976138093193,10274.869743347168,10934,0.0067392294,-0.30991882,171.0731707317073
2499806,0.2321455938697318,0.0073274705,0.0014667806,0.0,2.7857142857142856,0.21428571428571427,30.886502217833193,10315.828228235245,10976,0.0014667806,-0.3367303,165.07142857142858
2509940,0.23323135127020847,0.004638152,0.0015054434,0.0,2.422222222222222,0.5777777777777777,30.464802578122953,10357.286380290985,11021,0.0015054434,-0.37464425,160.26666666666668
2519756,0.22711118674686964,0.0031418575,0.0017149389,0.0,2.7209302325581395,0.27906976744186046,29.499341694717582,10396.519001483917,11064,0.0017149389,-0.38808334,156.90697674418604
2529756,0.2432,0.0025579778,0.0023328543,0.0,3.0,0.0,34.47434789756021,10436.048327207565,11104,0.0023328543,-0.36962834,182.4
2539785,0.22937594617325482,0.0027893514,0.00034003015,0.0,2.926829268292683,0.07317073170731707,31.68102165269486,10479.862216234207,11145,0.00034003015,-0.379183,169.2439024390244
2549874,0.24412935050698822,0.008407515,0.0018700886,0.0,2.926829268292683,0.07317073170731707,34.41420462943139,10518.969964265823,11186,0.0018700886,-0.4609443,181.2439024390244
2559965,0.2511499778640069,0.0048796283,0.0011121206,0.0,2.7906976744186047,0.20930232558139536,33.23305647231546,10559.077484369278,11229,0.0011121206,-0.5056478,176.4418604651163
2569765,0.22531479517693737,0.0059620473,0.0010404505,0.0,2.8536585365853657,0.14634146341463414,30.927621927134197,10599.56817317009,11270,0.0010404505,-0.49798596,164.0487804878049
2579874,0.24218825358897042,0.0026470027,0.0014405508,0.0,2.6666666666666665,0.3333333333333333,31.429347757276442,10640.111289262772,11315,0.0014405508,-0.51895946,165.26666666666668
2589887,0.241313320825516,0.007883097,0.0016282089,0.0,2.926829268292683,0.07317073170731707,33.89351347974579,10681.557449102402,11356,0.0016282089,-0.5837999,178.3170731707317
