Ptt,MpbtA,TimestepsSoFar,MpbtN,surrgain,optimgain,entropy,Tmc,entloss,AttC,meankl,EpisodesSoFar,AttNC,TimeElapsed,TtR,Tbt,MtR,Tmt
56.11386681687354,77.66665955804136,2769902,22.333340441958605,0.002209982,0.002209982,0.25292256,47.55555555555556,0.0,4.7407407407407405,0.0057290513,18754,5.2592592592592595,94807.27182531357,-130.1851851851852,235595.85185185185,-8.604166467010815,57.51851851851852
54.25655182059213,80.15725398116936,2779900,19.842746018830642,0.004442481,0.004442481,0.23885477,49.63636363636363,0.0,4.4363636363636365,0.0065888097,18809,5.5636363636363635,95137.98733878136,-112.36363636363636,228035.4909090909,-7.792519933506723,55.67272727272727
55.469077819441374,81.89736088134936,2789977,18.102639118650657,0.0019831916,0.0019831916,0.23923837,48.271186440677965,0.0,3.1016949152542375,0.0061304034,18868,6.898305084745763,95469.44210243225,-103.05084745762711,232916.61016949153,-7.405106785208958,56.86440677966102
56.22294130440347,81.86135402925751,2799969,18.138645970742495,0.0020787818,0.0020787818,0.24184261,47.473684210526315,0.0,4.842105263157895,0.005414132,18925,5.157894736842105,95795.53157162666,-105.08771929824562,236202.66666666666,-7.4363975689593875,57.666666666666664
56.479752813115695,78.46622717249656,2809918,21.533772827503476,0.0019514059,0.0019514059,0.22357506,47.224137931034484,0.0,6.913793103448276,0.0057507525,18983,3.086206896551724,96118.09338474274,-126.37931034482759,237426.75862068965,-8.23114983317076,57.96551724137931
55.64393090748954,83.21660283782597,2819874,16.78339716217404,0.0022611755,0.0022611755,0.22797531,48.05263157894737,0.0,5.947368421052632,0.005298341,19040,4.052631578947368,96434.68059873581,-96.14035087719299,233543.8596491228,-6.6401652823471755,57.01754385964912
55.518012258483026,79.0039200750044,2829835,20.996079924995588,0.0018988397,0.0018988397,0.22511348,48.19298245614035,0.0,5.035087719298246,0.0040907604,19097,4.964912280701754,96748.5804567337,-120.52631578947368,233040.84210526315,-8.253863003263726,56.89473684210526
54.46831176093278,82.07741296446888,2839944,17.922587035531116,0.002941168,0.002941168,0.23873161,49.37931034482759,0.0,3.6724137931034484,0.007248338,19155,6.327586206896552,97062.91917467117,-99.82758620689656,228811.0344827586,-7.157694582902646,55.86206896551724
54.10586695633101,81.2830068211036,2849870,18.716993178896427,0.0025108263,0.0025108263,0.22900844,49.75,0.0,2.8392857142857144,0.005364737,19211,7.160714285714286,97383.62308859825,-104.46428571428571,227181.7142857143,-7.273168558278562,55.464285714285715
54.1923669496335,81.96470720971544,2859919,18.03529279028455,0.0030353286,0.0030353286,0.2479132,49.672413793103445,0.0,2.810344827586207,0.0061218324,19269,7.189655172413793,97690.19752883911,-100.34482758620689,227610.4827586207,-7.1904105499709905,55.56896551724138
55.42493189569889,81.96582660767906,2869929,18.034173392320955,0.0025358368,0.0025358368,0.23314184,48.30357142857143,0.0,3.642857142857143,0.0054712673,19325,6.357142857142857,97989.33579134941,-103.39285714285714,232667.42857142858,-7.202294450569148,56.80357142857143
53.9869303775587,81.51163933003889,2879975,18.48836066996109,0.0027849823,0.0027849823,0.22864006,49.892857142857146,0.0,3.732142857142857,0.0061119883,19381,6.267857142857143,98265.78670525551,-102.85714285714286,226742.85714285713,-7.207953182194713,55.357142857142854
54.300803815713614,82.57749831931015,2889803,17.422501680689834,0.0026077484,0.0026077484,0.24216701,49.55555555555556,0.0,3.037037037037037,0.0056208638,19435,6.962962962962963,98556.28388762474,-96.85185185185185,228086.5185185185,-6.7780727346833665,55.68518518518518
55.428782369823395,83.34987935275423,2899836,16.650120647245732,0.0029280018,0.0029280018,0.25685394,48.30508474576271,0.0,2.9491525423728815,0.005849019,19494,7.0508474576271185,98874.29333496094,-94.57627118644068,232708.33898305084,-6.9908012954751815,56.813559322033896
