TimestepsSoFar,TimeElapsed,Fce,TtR,AttC,entropy,optimgain,entloss,EpisodesSoFar,MtR,surrgain,AttNC,meankl
1369766,8427.601378440857,0.12971882086167802,88.92857142857143,1.2857142857142858,1.4902372,0.0004254842,0.0,6395,17.100618651366876,0.0004254842,1.7142857142857142,0.0012646879
1379785,8490.286351919174,0.11001904761904768,80.2,1.2666666666666666,1.4871854,0.0002566218,0.0,6440,15.427273184580597,0.0002566218,1.7333333333333334,0.0030994844
1389801,8546.417202949524,0.1322727272727273,82.22727272727273,1.2954545454545454,1.4953529,0.0007510588,0.0,6484,15.661058669419374,0.0007510588,1.7045454545454546,0.0030493992
1399889,8606.917196512222,0.1201633883410821,87.06521739130434,1.608695652173913,1.4821688,0.0019857392,0.0,6530,16.49416761170542,0.0019857392,1.391304347826087,0.00508438
1409765,8658.598024845123,0.12736055325101975,75.11764705882354,1.5686274509803921,1.4692385,0.0008871399,0.0,6581,14.493187097663524,0.0008871399,1.4313725490196079,0.0012963796
1419947,8720.4835896492,0.12562573099415208,84.47727272727273,1.3863636363636365,1.4514269,0.00015547244,0.0,6625,15.914831338970261,0.00015547244,1.6136363636363635,0.0029770003
1429954,8779.268847465515,0.11972093023255817,89.79069767441861,1.302325581395349,1.4312394,0.00022417882,0.0,6668,17.160285902274715,0.00022417882,1.697674418604651,0.0027614846
1439991,8841.373258113861,0.1449989417989417,82.8,1.5555555555555556,1.4338387,0.0005622491,0.0,6713,15.880700353100519,0.0005622491,1.4444444444444444,0.0026076187
1449843,8898.811126947403,0.13260170940170943,79.53333333333333,1.288888888888889,1.4527596,0.0006183833,0.0,6758,15.445714570954218,0.0006183833,1.711111111111111,0.003146229
1459878,8960.121492862701,0.12100258397932818,89.02325581395348,1.3255813953488371,1.4436408,0.002052366,0.0,6801,16.88620660186028,0.002052366,1.6744186046511629,0.004500657
1469931,9016.542475223541,0.14241134751773044,72.44680851063829,1.3191489361702127,1.451981,0.00040204517,0.0,6848,13.767340752326765,0.00040204517,1.6808510638297873,0.00030624497
1479769,9079.158373117447,0.11617256488035056,81.69767441860465,1.1627906976744187,1.4955195,0.00049677177,0.0,6891,15.607284391019236,0.00049677177,1.8372093023255813,0.0025516546
1489773,9136.52314543724,0.11047619047619053,82.85714285714286,1.4047619047619047,1.5430901,0.0003634927,0.0,6933,15.90507169766084,0.0003634927,1.5952380952380953,0.007554935
1499767,9198.23834848404,0.11605168191973632,82.13333333333334,1.4222222222222223,1.5358886,0.00091587065,0.0,6978,15.774580753137386,0.00091587065,1.5777777777777777,0.009103589
1509900,9258.617013216019,0.11821798941798939,84.2,1.4222222222222223,1.5113109,0.00052637735,0.0,7023,16.074937490842675,0.00052637735,1.5777777777777777,0.0013421809
1519924,9322.231076717377,0.12320712620712623,83.18181818181819,1.2727272727272727,1.4908422,0.00075154164,0.0,7067,15.732644117386515,0.00075154164,1.7272727272727273,0.0025432613
1529969,9375.327355146408,0.11277179962894247,78.91836734693878,1.5510204081632653,1.4780613,0.00047540638,0.0,7116,15.087944965710888,0.00047540638,1.4489795918367347,0.000999478
1539751,9439.733717679977,0.10119148936170216,75.8936170212766,1.6595744680851063,1.4441789,8.9461515e-05,0.0,7163,14.3952395029944,8.9461515e-05,1.3404255319148937,0.002684852
1549817,9496.709024429321,0.12528661676487765,78.97826086956522,1.4130434782608696,1.4347682,0.00053156156,0.0,7209,15.11246792428205,0.00053156156,1.5869565217391304,0.0070666727
1559884,9562.209233045578,0.11987421383647799,82.13333333333334,1.511111111111111,1.426223,0.0005955129,0.0,7254,15.716966330681467,0.0005955129,1.488888888888889,0.005004184
1569905,9617.382848739624,0.11255813953488374,84.4186046511628,1.186046511627907,1.4273328,0.0012072682,0.0,7297,16.346780203045366,0.0012072682,1.813953488372093,0.01125195
1579982,9680.028307676315,0.11957968828557065,83.80851063829788,1.5106382978723405,1.4122404,0.00077429553,0.0,7344,15.868431064576091,0.00077429553,1.4893617021276595,0.001731622
1589892,9741.625629901886,0.11564825249226642,80.06666666666666,1.2,1.4454235,0.0008627411,0.0,7389,15.50823845018295,0.0008627411,1.8,0.0030020922
