optimgain,AttNC,EpisodesSoFar,AttC,Fce,surrgain,TimestepsSoFar,entropy,TimeElapsed,MtR,meankl,entloss,TtR
0.00379719,0.9069767441860465,8844,0.09302325581395349,0.14088013526947685,0.00379719,1859802,0.09512996,14415.27915430069,18.874449906285882,0.008000018,0.0,33.093023255813954
0.002993074,0.975609756097561,8885,0.024390243902439025,0.13970731707317077,0.002993074,1869803,0.09435732,14483.143423318863,19.792412909939717,0.0051018693,0.0,34.926829268292686
0.0036310875,1.0,8925,0.0,0.1421,0.0036310875,1879803,0.09040451,14559.880896806717,20.126425632010847,0.006151538,0.0,35.525
0.0035229158,0.975609756097561,8966,0.024390243902439025,0.1458938307030129,0.0035229158,1889820,0.106213674,14626.748902082443,20.173418556002012,0.0050877985,0.0,35.80487804878049
0.0042585433,0.9090909090909091,9010,0.09090909090909091,0.14658203363840172,0.0042585433,1899902,0.08727265,14714.445351362228,19.321626558027926,0.0059026256,0.0,33.63636363636363
0.004288884,1.0,9050,0.0,0.1599,0.004288884,1909902,0.047514465,14790.407838582993,22.68447117507424,0.0073668067,0.0,39.975
0.0025172257,0.975609756097561,9091,0.024390243902439025,0.14815795586527294,0.0025172257,1919923,0.056310933,14858.339039087296,20.59850191589527,0.0060722544,0.0,35.97560975609756
0.0047006975,0.975609756097561,9132,0.024390243902439025,0.14631978319783195,0.0047006975,1929932,0.021608425,14932.948214054108,20.669583182166225,0.0075814202,0.0,35.926829268292686
0.0038884429,0.975609756097561,9173,0.024390243902439025,0.14097560975609758,0.0038884429,1939933,-0.013296966,15008.107719182968,20.143144953361563,0.0070127426,0.0,35.24390243902439
0.005425831,0.9523809523809523,9215,0.047619047619047616,0.13780952380952383,0.005425831,1949941,-0.0482521,15086.536621809006,19.212573209072104,0.0066316347,0.0,34.45238095238095
0.004048344,0.9523809523809523,9257,0.047619047619047616,0.1376894409937888,0.004048344,1959965,-0.055854827,15159.234028577805,19.27141498847378,0.0071855094,0.0,33.95238095238095
