EpisodesSoFar,AttC,AttNC,MtR,MpbtN,TimeElapsed,Ptt,TtR,meankl,Tmc,optimgain,TimestepsSoFar,entropy,Tmt,entloss,MpbtA,surrgain,Tbt
19335,2.239130434782609,0.7608695652173914,-27.387148846084557,60.59470884659813,50230.32433009148,74.84390976144299,-139.7608695652174,0.005186384,27.23913043478261,0.0063123726,3759802,0.1886384,76.76086956521739,0.0,39.40529115340186,0.0063123726,314412.52173913043
19381,1.934782608695652,1.065217391304348,-28.4166696888256,61.35985915805362,50352.23632669449,74.70544098102306,-141.0,0.005895217,27.391304347826086,0.0077084797,3769986,0.20072405,76.6086956521739,0.0,38.64014084194638,0.0077084797,313789.2173913043
19425,1.8181818181818181,1.1818181818181819,-27.896376677490608,60.66950989375578,50471.52958416939,75.1762071754384,-140.52272727272728,0.006502578,26.886363636363637,0.008069852,3779869,0.19671303,77.11363636363636,0.0,39.330490106244234,0.008069852,315857.45454545453
19469,1.6590909090909092,1.3409090909090908,-25.843704942256295,55.42591561998361,50585.361021757126,74.81670884085533,-127.77272727272727,0.00521201,27.272727272727273,0.0059074876,3789901,0.18604857,76.72727272727273,0.0,44.57408438001639,0.0059074876,314274.9090909091
19512,1.9767441860465116,1.0232558139534884,-26.434831439010157,58.95758229076768,50700.78189229965,73.69999360424599,-133.95348837209303,0.006361759,28.46511627906977,0.0070917387,3799947,0.18237689,75.53488372093024,0.0,41.04241770923232,0.0070917387,309390.88372093026
19557,1.7555555555555555,1.2444444444444445,-27.797258193045263,59.293966061177386,50822.78475141525,74.08597351981263,-135.4,0.005892509,28.066666666666666,0.0054789,3809902,0.19194111,75.97777777777777,0.0,40.70603393882261,0.0054789,311204.97777777776
19601,1.4545454545454546,1.5454545454545454,-28.28986320965532,61.283924896704484,50941.42711663246,74.86534106966073,-141.3409090909091,0.005669432,27.227272727272727,0.006752656,3819784,0.18889938,76.79545454545455,0.0,38.71607510329549,0.006752656,314554.1818181818
19645,1.6363636363636365,1.3636363636363635,-27.16686585467547,59.70186519871611,51059.45008277893,74.2056681425512,-136.36363636363637,0.0051931925,27.931818181818183,0.006408148,3829940,0.19722997,76.0909090909091,0.0,40.29813480128387,0.006408148,311668.36363636365
19691,2.0,1.0,-30.06993256293142,63.1836311547234,51179.27336716652,76.13177737533746,-148.56521739130434,0.00499534,25.869565217391305,0.0058123297,3839984,0.17767602,78.15217391304348,0.0,36.816368845276614,0.0058123297,320111.3043478261
19735,1.9090909090909092,1.0909090909090908,-28.958130133853842,61.765927922173184,51302.06898236275,74.76334909408915,-142.29545454545453,0.0054058167,27.34090909090909,0.0068853567,3849765,0.18543363,76.70454545454545,0.0,38.2340720778268,0.0068853567,314181.8181818182
19779,1.9090909090909092,1.0909090909090908,-29.58711187782612,64.96085008932234,51418.71050977707,74.947984522194,-150.13636363636363,0.0050947866,27.136363636363637,0.006135809,3859867,0.18705589,76.88636363636364,0.0,35.03914991067767,0.006135809,314926.54545454547
19823,1.7727272727272727,1.2272727272727273,-28.97249681178369,63.99567472515489,51535.75381088257,74.21992876012479,-146.52272727272728,0.0059692906,27.90909090909091,0.007225768,3869995,0.18998288,76.0909090909091,0.0,36.00432527484511,0.007225768,311668.36363636365
19866,2.0930232558139537,0.9069767441860465,-29.949826443875338,65.54448272513525,51651.909702301025,75.87445046219572,-153.2093023255814,0.005540284,26.13953488372093,0.0069496473,3879835,0.17569639,77.86046511627907,0.0,34.45551727486477,0.0069496473,318916.4651162791
