Tbt,Tmc,AttNC,AttC,EpisodesSoFar,TimestepsSoFar,Ptt,surrgain,optimgain,TimeElapsed,meankl,Tmt,MpbtA,MpbtN,TtR,MtR,entropy,entloss
336410.94736842107,21.842105263157894,0.631578947368421,0.3684210526315789,9310,1499730,79.86955937636765,0.005732927,0.005732927,23402.508826494217,0.0045047533,82.13157894736842,19.95319690607,80.04680309393,-65.73684210526316,-37.27431113931944,0.17357585,0.0
335136.8205128205,22.153846153846153,0.717948717948718,0.28205128205128205,9349,1509966,79.58022760845887,0.0061357515,0.0061357515,23486.68804383278,0.0052811075,81.82051282051282,21.96074919266622,78.03925080733377,-63.87179487179487,-35.815360647854,0.18344086,0.0
336292.10256410256,21.871794871794872,0.5641025641025641,0.4358974358974359,9388,1519759,79.84316136912803,0.004189385,0.004189385,23568.657599925995,0.004402919,82.1025641025641,20.79217690215286,79.20782309784715,-65.05128205128206,-37.28022765352154,0.18086469,0.0
335564.8,22.075,0.7,0.3,9428,1529880,79.65896706068011,0.005383077,0.005383077,23646.375881910324,0.0050538084,81.925,20.252445693308893,79.74755430669111,-65.325,-37.19114247486752,0.17715207,0.0
335556.92307692306,22.05128205128205,0.6410256410256411,0.358974358974359,9467,1539965,79.67652915384883,0.0062758764,0.0062758764,23726.374030590057,0.005300809,81.92307692307692,20.88534140269687,79.11465859730312,-64.82051282051282,-36.308025428483525,0.18920666,0.0
336652.1904761905,21.738095238095237,0.5476190476190477,0.4523809523809524,9509,1549845,79.96057176127104,0.005864212,0.005864212,23815.20271039009,0.005055303,82.19047619047619,19.639612995132214,80.36038700486779,-66.07142857142857,-38.335388842074536,0.17830701,0.0
334926.76923076925,22.205128205128204,0.6410256410256411,0.358974358974359,9548,1559844,79.53254263056368,0.0051337066,0.0051337066,23903.291991710663,0.004394118,81.76923076923077,20.338045910103503,79.6619540898965,-65.12820512820512,-36.85060431259008,0.19445775,0.0
333721.6,22.5,0.65,0.35,9588,1569796,79.25853191246156,0.005512616,0.005512616,23984.604629278183,0.004698071,81.475,19.71873416989947,80.28126583010052,-65.4,-37.41509599969047,0.17597789,0.0
331776.0,23.0,0.7297297297297297,0.2702702702702703,9625,1579864,78.79597226275972,0.0055519072,0.0055519072,24062.381794452667,0.0054820008,81.0,22.381159341885112,77.61884065811488,-62.86486486486486,-34.8312740854951,0.16204126,0.0
332661.6216216216,22.783783783783782,0.8648648648648649,0.13513513513513514,9662,1589798,78.99802891939781,0.0056762267,0.0056762267,24139.279893636703,0.006144845,81.21621621621621,21.584065404244775,78.41593459575523,-63.7027027027027,-35.60725818129937,0.16824636,0.0
336410.94736842107,21.81578947368421,0.9473684210526315,0.05263157894736842,9700,1599839,79.89015452927663,0.0063881716,0.0063881716,24215.96242070198,0.006335503,82.13157894736842,20.206143713807847,79.79385628619217,-65.52631578947368,-37.34579534420234,0.16678596,0.0
334578.5263157895,22.31578947368421,0.8157894736842105,0.18421052631578946,9738,1609832,79.43327927661099,0.004591336,0.004591336,24295.482270002365,0.0034018531,81.6842105263158,20.184870568885337,79.81512943111466,-65.1842105263158,-36.39993842335423,0.16889666,0.0
335225.2631578947,22.105263157894736,0.7631578947368421,0.23684210526315788,9776,1619724,79.62055561804297,0.0041367584,0.0041367584,24372.391157627106,0.0046720244,81.84210526315789,22.170853306466647,77.82914669353336,-63.71052631578947,-35.84721398997349,0.17164877,0.0
333716.2105263158,22.526315789473685,0.868421052631579,0.13157894736842105,9814,1629734,79.23787634758506,0.0074981903,0.0074981903,24450.94724559784,0.00704256,81.47368421052632,20.137036645122574,79.86296335487741,-65.02631578947368,-36.39201768118705,0.17008108,0.0
336187.07692307694,21.846153846153847,0.8205128205128205,0.1794871794871795,9853,1639992,79.85822733190433,0.0058198594,0.0058198594,24527.585931539536,0.005418152,82.07692307692308,21.087948587960998,78.912051412039,-64.76923076923077,-36.65257967627222,0.17392801,0.0
335009.6842105263,22.18421052631579,0.7631578947368421,0.23684210526315788,9891,1649990,79.55203513957747,0.0056702537,0.0056702537,24604.099829673767,0.0050388817,81.78947368421052,21.462182962075474,78.53781703792454,-64.23684210526316,-36.189760084728476,0.17894267,0.0
335155.2,22.125,0.6,0.4,9931,1659967,79.60307482469803,0.0054144654,0.0054144654,24685.10805439949,0.0048744916,81.825,19.696475944770206,80.3035240552298,-65.725,-37.16412270496244,0.17650284,0.0
334039.5789473684,22.42105263157895,0.5,0.5,9969,1669800,79.3307769323509,0.0061548217,0.0061548217,24763.087594985962,0.006070578,81.55263157894737,21.14598358885365,78.85401641114636,-64.34210526315789,-35.74120688763614,0.18528292,0.0
335172.68292682926,22.121951219512194,0.4634146341463415,0.5365853658536586,10010,1679935,79.60548626568306,0.0033169861,0.0033169861,24844.40990614891,0.003605668,81.82926829268293,20.35331677351535,79.64668322648465,-65.17073170731707,-36.623260752741736,0.19949712,0.0
334673.1707317073,22.24390243902439,0.5121951219512195,0.4878048780487805,10051,1689861,79.4929377406062,0.0060724546,0.0060724546,24926.823301553726,0.005649817,81.70731707317073,20.370380213492897,79.62961978650709,-65.07317073170732,-37.39885810646153,0.17827684,0.0
335052.8,22.2,0.425,0.575,10091,1699848,79.54124560567662,0.005396753,0.005396753,25009.096605539322,0.006885678,81.8,21.743379487861205,78.2566205121388,-64.025,-35.950761754059336,0.16430438,0.0
