entloss,EpisodesSoFar,entropy,surrgain,AttC,AttNC,meankl,TimeElapsed,Fce,TtR,MtR,TimestepsSoFar,optimgain
0.0,10374,1.2331537,0.0007143758,1.0714285714285714,1.9285714285714286,0.00368495,31483.54832816124,0.11016326530612246,80.14285714285714,15.18977963531544,2259860,0.0007143758
0.0,10418,1.2288408,0.00075823773,0.9772727272727273,2.022727272727273,0.0013723297,31618.492124557495,0.11518041037553238,78.4090909090909,15.0885829535337,2269932,0.00075823773
0.0,10460,1.2623185,0.0006745148,0.8809523809523809,2.119047619047619,0.0034349111,31759.990941286087,0.10371428571428576,77.78571428571429,14.57637742850509,2279936,0.0006745148
0.0,10505,1.2943599,0.0009452499,1.1555555555555554,1.8444444444444446,0.004209686,31886.294048070908,0.12839506172839507,77.26666666666667,14.665471546743445,2289987,0.0009452499
0.0,10552,1.2928492,0.0012615001,1.4893617021276595,1.5106382978723405,0.0044297455,32028.308665513992,0.1103117837989785,75.82978723404256,14.524424037161197,2299916,0.0012615001
0.0,10599,1.2686872,0.0005271291,1.2340425531914894,1.7659574468085106,0.0020708714,32163.20810341835,0.10856518883296261,75.70212765957447,14.64093952190746,2309824,0.0005271291
0.0,10642,1.2684351,0.0008626521,1.2093023255813953,1.7906976744186047,0.0045969696,32292.11238384247,0.12509413067552602,86.79069767441861,16.31809197744912,2319873,0.0008626521
0.0,10688,1.2458923,0.0007880463,1.3043478260869565,1.6956521739130435,0.002592415,32441.2225959301,0.10398667906194216,72.0,13.794496484182236,2329808,0.0007880463
0.0,10731,1.2601343,0.001426881,0.8604651162790697,2.13953488372093,0.0031260343,32589.831585407257,0.10198875905555771,72.06976744186046,13.926276645732681,2339981,0.001426881
0.0,10778,1.2530924,0.00033735327,1.3617021276595744,1.6382978723404256,0.0028522038,32729.90506529808,0.09995787663872772,71.87234042553192,14.03462411129293,2349771,0.00033735327
0.0,10824,1.259105,0.0007469106,1.2826086956521738,1.7173913043478262,0.0018613485,32864.64166069031,0.1101735945214206,77.80434782608695,15.11879583342902,2359931,0.0007469106
0.0,10872,1.2422963,0.0007789206,1.3541666666666667,1.6458333333333333,0.003143987,33011.537672519684,0.12478171340220673,71.625,13.689425047905972,2369820,0.0007789206
0.0,10915,1.2611214,0.0011547729,1.0465116279069768,1.9534883720930232,0.004180363,33140.84923171997,0.11367164179104482,82.3953488372093,15.760201481091181,2379903,0.0011547729
0.0,10958,1.2409701,0.0004922338,1.1395348837209303,1.8604651162790697,0.0048827752,33282.37394571304,0.10976744186046515,78.90697674418605,15.238792068605255,2389916,0.0004922338
