TtR,Ptt,entropy,TimestepsSoFar,AttNC,surrgain,AttC,entloss,Tmt,EpisodesSoFar,Tmc,MtR,MpbtA,meankl,Tbt,optimgain,TimeElapsed,MpbtN
-69.25641025641026,80.00813426402462,0.21122825,1849979,0.5897435897435898,0.00673277,0.41025641025641024,0.0,82.28205128205128,10622,21.692307692307693,-37.98880232195978,15.886583517483476,0.003961275,337027.28205128206,0.00673277,29197.926594018936,84.11341648251653
-70.36842105263158,80.43246100325752,0.18787034,1859745,0.7105263157894737,0.008779413,0.2894736842105263,0.0,82.73684210526316,10660,21.236842105263158,-39.93731690961335,14.988904402288801,0.0049350597,338890.1052631579,0.008779413,29313.894549369812,85.01109559771122
-69.78378378378379,80.49055319162824,0.21265283,1869793,0.7297297297297297,0.010007476,0.2702702702702703,0.0,82.75675675675676,10697,21.16216216216216,-38.85744460985077,15.673771885640887,0.004615466,338971.6756756757,0.010007476,29419.210225582123,84.32622811435911
-71.17948717948718,81.33213773033307,0.21037053,1879904,0.8205128205128205,0.008182543,0.1794871794871795,0.0,83.64102564102564,10736,20.256410256410255,-40.184764283029374,14.935883647698114,0.004569758,342593.641025641,0.008182543,29529.583208322525,85.06411635230191
-69.75675675675676,80.77337473797152,0.19457714,1889660,0.6216216216216216,0.007672598,0.3783783783783784,0.0,83.08108108108108,10773,20.864864864864863,-38.19527419745402,16.055190377831,0.0050424584,340300.1081081081,0.007672598,29641.30980706215,83.94480962216899
-70.05128205128206,81.4549121856248,0.21997371,1899981,0.6153846153846154,0.008774735,0.38461538461538464,0.0,83.7948717948718,10812,20.128205128205128,-38.98807210580427,16.434238949085202,0.004392435,343223.7948717949,0.008774735,29748.750076532364,83.56576105091482
-69.8157894736842,80.72417804895088,0.2057141,1909964,0.5789473684210527,0.0074601923,0.42105263157894735,0.0,83.05263157894737,10850,20.92105263157895,-38.8467834955961,15.945890694580202,0.004095492,340183.5789473684,0.0074601923,29860.72848367691,84.0541093054198
-70.36842105263158,81.18017289155475,0.1954425,1919754,0.7894736842105263,0.0067139952,0.21052631578947367,0.0,83.47368421052632,10888,20.42105263157895,-39.95261011432484,15.714947338886802,0.0042892364,341908.2105263158,0.0067139952,29976.3691239357,84.28505266111318
-71.34210526315789,80.76983195358717,0.18948048,1929737,0.631578947368421,0.0083719455,0.3684210526315789,0.0,83.07894736842105,10926,20.86842105263158,-39.9131186281184,14.161065586913091,0.004561933,340291.36842105264,0.0083719455,30085.591414690018,85.83893441308689
-70.28947368421052,80.42305906542053,0.17810592,1939986,0.7105263157894737,0.007319209,0.2894736842105263,0.0,82.6842105263158,10964,21.236842105263158,-38.56885567664504,15.009460140619808,0.003952913,338674.5263157895,0.007319209,30195.567376852036,84.99053985938019
