entropy,EpisodesSoFar,surrgain,Fce,TimeElapsed,AttC,MtR,meankl,TtR,entloss,AttNC,optimgain,TimestepsSoFar
7.3960385,12383,5.1879883e-09,0.17110000000000003,24092.011845350266,6.2,24.468846153238182,0.01017476,427.75,0.0,3.8,5.1879883e-09,3009983
7.3960385,12423,5.1879883e-09,0.16120000000000004,24165.995642900467,7.175,22.96210992450427,0.01017476,403.0,0.0,2.825,5.1879883e-09,3019983
7.4936624,12466,-1.5258789e-09,0.1613550931592547,24242.368060350418,7.093023255813954,21.765229969696463,0.008933204,373.95348837209303,0.0,2.9069767441860463,-1.5258789e-09,3029861
7.4936624,12509,-1.5258789e-09,0.16970703714889765,24315.96391391754,6.441860465116279,23.52163503726384,0.008933204,411.6279069767442,0.0,3.558139534883721,-1.5258789e-09,3039948
7.3960385,12550,1.159668e-08,0.16506044538706258,24392.563038110733,6.512195121951219,24.041943209947142,0.01017476,410.2439024390244,0.0,3.4878048780487805,1.159668e-08,3049971
7.3960385,12594,1.159668e-08,0.1581818181818182,24464.05537557602,6.704545454545454,21.81533035125128,0.01017476,384.3181818181818,0.0,3.2954545454545454,1.159668e-08,3059993
7.3960385,12637,1.159668e-08,0.15554582763337887,24540.33507847786,7.069767441860465,21.755160457449374,0.01017476,379.30232558139534,0.0,2.9302325581395348,1.159668e-08,3069789
7.3960385,12677,1.159668e-08,0.16939864253393663,24613.068289518356,6.4,24.305680320310394,0.01017476,422.25,0.0,3.6,1.159668e-08,3079760
7.3960385,12717,1.159668e-08,0.17969999999999994,24685.563832759857,5.85,25.69154867986503,0.01017476,449.25,0.0,4.15,1.159668e-08,3089760
7.4936624,12760,-5.493164e-09,0.15668891230535065,24759.2718231678,7.395348837209302,21.74119942579204,0.008933416,377.6744186046512,0.0,2.604651162790698,-5.493164e-09,3099891
7.4936624,12802,-5.493164e-09,0.16297831619835154,24829.58474135399,6.476190476190476,22.61046855326564,0.008933416,390.95238095238096,0.0,3.5238095238095237,-5.493164e-09,3109786
7.4936624,12843,-5.493164e-09,0.15785365853658537,24898.837530851364,7.2439024390243905,22.48218743706336,0.008933416,394.6341463414634,0.0,2.7560975609756095,-5.493164e-09,3119803
7.4936624,12887,-5.493164e-09,0.1561650313044899,24971.384585618973,7.181818181818182,21.612377578556394,0.008933416,376.1363636363636,0.0,2.8181818181818183,-5.493164e-09,3129905
7.4936624,12928,-5.493164e-09,0.17335312831389185,25040.902428388596,6.2682926829268295,24.798543068406186,0.008933416,430.9756097560976,0.0,3.731707317073171,-5.493164e-09,3139928
7.4936624,12970,-5.493164e-09,0.1694965986394558,25114.221841096878,7.0,23.844508416744226,0.008933416,415.4761904761905,0.0,3.0,-5.493164e-09,3149940
7.591306,13011,-1.083374e-08,0.15648780487804878,25187.027181863785,6.926829268292683,22.365983710954158,0.008933102,389.0243902439024,0.0,3.073170731707317,-1.083374e-08,3159965
7.591306,13054,-1.083374e-08,0.15148990544339377,25260.349831342697,7.348837209302325,21.090736528624742,0.008933102,367.90697674418607,0.0,2.6511627906976742,-1.083374e-08,3169819
7.591306,13094,-1.083374e-08,0.1737,25330.669016599655,6.425,25.00636194159253,0.008933102,434.25,0.0,3.575,-1.083374e-08,3179819
7.4936624,13137,9.002686e-09,0.1664034266824964,25404.34241294861,6.627906976744186,23.09528363681729,0.010174781,397.90697674418607,0.0,3.372093023255814,9.002686e-09,3189892
7.4936624,13180,9.002686e-09,0.17186272678106104,25476.53061246872,6.651162790697675,24.14222930687466,0.010174781,413.95348837209303,0.0,3.3488372093023258,9.002686e-09,3199953
7.4936624,13220,9.002686e-09,0.17057078651685392,25545.867936372757,6.55,24.178417338144772,0.010174781,421.0,0.0,3.45,9.002686e-09,3209792
7.5424814,13261,5.0354005e-09,0.1703321718931475,25619.257504463196,6.463414634146342,24.461140235568607,0.0023053025,423.1707317073171,0.0,3.5365853658536586,5.0354005e-09,3219813
7.4936624,13303,3.6621093e-09,0.1716719576719577,25691.266106128693,6.666666666666667,23.24753136514112,0.0024604485,410.0,0.0,3.3333333333333335,3.6621093e-09,3229847
7.4936624,13343,3.6621093e-09,0.1638,25763.080781698227,6.5,23.50279837150846,0.0024604485,409.5,0.0,3.5,3.6621093e-09,3239847
7.4936624,13383,3.6621093e-09,0.16560000000000002,25832.45089673996,6.725,23.808172122754094,0.0024604485,414.0,0.0,3.275,3.6621093e-09,3249847
7.4936624,13426,3.6621093e-09,0.17387239117471676,25903.266669988632,6.325581395348837,24.222375544055016,0.0024604485,423.0232558139535,0.0,3.6744186046511627,3.6621093e-09,3259912
7.4936624,13468,3.6621093e-09,0.16364625850340137,25972.483649015427,7.0,22.826369779792582,0.0024604485,394.5238095238095,0.0,3.0,3.6621093e-09,3269952
7.3960385,13510,2.89917e-09,0.15581353911788692,26045.423201322556,6.9523809523809526,22.023900764650033,0.01017476,378.57142857142856,0.0,3.0476190476190474,2.89917e-09,3279763
7.2984824,13550,2.4414062e-09,0.18050000000000002,26118.02007293701,6.275,25.995762778925943,0.01017476,451.25,0.0,3.725,2.4414062e-09,3289763
7.2009945,13591,1.7242431e-08,0.16514285714285717,26189.697466611862,6.7560975609756095,23.622544422123898,0.010174871,404.8780487804878,0.0,3.2439024390243905,1.7242431e-08,3299784
7.2009945,13631,1.7242431e-08,0.16,26259.298676729202,6.675,23.28679462979475,0.010174871,400.0,0.0,3.325,1.7242431e-08,3309784
7.2984824,13672,-6.9046022e-09,0.15703322966115563,26330.89516735077,7.0,22.229672703439014,0.008933102,388.780487804878,0.0,3.0,-6.9046022e-09,3319933
7.2009945,13715,9.155274e-09,0.15721672503067852,26402.78856611252,7.186046511627907,21.941446971681135,0.010174871,381.86046511627904,0.0,2.813953488372093,9.155274e-09,3329777
7.2009945,13756,9.155274e-09,0.17050406504065038,26472.00394511223,6.536585365853658,24.275364545747863,0.010174871,422.4390243902439,0.0,3.4634146341463414,9.155274e-09,3339792
7.103369,13799,4.5776366e-10,0.1630012562429145,26544.053786039352,7.465116279069767,22.620682501395937,0.0101747215,394.1860465116279,0.0,2.5348837209302326,4.5776366e-10,3349901
7.103369,13840,4.5776366e-10,0.16204878048780483,26613.311425447464,6.902439024390244,23.523619706179865,0.0101747215,405.1219512195122,0.0,3.097560975609756,4.5776366e-10,3359906
7.103369,13882,4.5776366e-10,0.17160720833988158,26681.86164832115,6.714285714285714,23.304568829614816,0.0101747215,408.0952380952381,0.0,3.2857142857142856,4.5776366e-10,3369807
7.2009945,13922,-1.5258789e-10,0.17220000000000002,26753.750591516495,6.5,24.841367909909614,0.008933204,430.5,0.0,3.5,-1.5258789e-10,3379807
7.2009945,13965,-1.5258789e-10,0.17135452111800456,26823.021994829178,6.883720930232558,23.510799059918902,0.008933204,412.7906976744186,0.0,3.116279069767442,-1.5258789e-10,3389972
7.2009945,14006,-1.5258789e-10,0.17955840821566108,26892.956414699554,6.170731707317073,24.673681291532038,0.008933204,430.0,0.0,3.8292682926829267,-1.5258789e-10,3399794
7.2984824,14047,3.3569336e-09,0.16565853658536586,26963.7946600914,6.414634146341464,23.74255021765923,0.00893351,414.1463414634146,0.0,3.5853658536585367,3.3569336e-09,3409797
7.2984824,14090,3.3569336e-09,0.1731132390940872,27034.084785461426,6.883720930232558,23.84252495751218,0.00893351,413.95348837209303,0.0,3.116279069767442,3.3569336e-09,3419840
7.3960395,14131,-2.2888185e-09,0.16595121951219513,27106.64555811882,6.829268292682927,24.057203406975184,0.008933102,414.8780487804878,0.0,3.1707317073170733,-2.2888185e-09,3429847
7.3960395,14173,-2.2888185e-09,0.17350446998722863,27177.11430311203,6.785714285714286,23.787223855303257,0.008933102,417.3809523809524,0.0,3.2142857142857144,-2.2888185e-09,3439885
