meankl,MtR,AttC,EpisodesSoFar,TimestepsSoFar,AttNC,TtR,surrgain,optimgain,entloss,entropy,TimeElapsed,Fce
0.005362036,19.196994101471372,1.6956521739130435,10479,2349801,1.3043478260869565,100.04347826086956,0.0022571518,0.0022571518,0.0,1.0575107,9484.602672576904,0.14775343042862224
0.0041957903,19.789822447260168,1.5116279069767442,10522,2359808,1.4883720930232558,104.16279069767442,0.0017776828,0.0017776828,0.0,1.0425454,9524.901515007019,0.1388837209302326
0.0034788463,19.431624681757395,1.7826086956521738,10568,2369904,1.2173913043478262,101.21739130434783,0.0015570137,0.0015570137,0.0,1.0413201,9565.984893083572,0.1401242236024845
0.0034372192,22.22024091107501,1.3170731707317074,10609,2379905,1.6829268292682926,118.2439024390244,0.0013562426,0.0013562426,0.0,1.057495,9606.221804857254,0.15765853658536585
0.0026236074,20.887737150969336,1.5714285714285714,10651,2389921,1.4285714285714286,110.0,0.0014578786,0.0014578786,0.0,1.046811,9646.307780981064,0.15431746031746035
0.0027677263,19.22436722968522,1.4634146341463414,10692,2399924,1.5365853658536586,101.26829268292683,0.0012909182,0.0012909182,0.0,1.0459135,9686.594689846039,0.13502439024390245
0.004081797,19.355903926843176,1.4186046511627908,10735,2409983,1.5813953488372092,102.0,0.0019512471,0.0019512471,0.0,1.0371096,9726.864428758621,0.14216114634719285
0.0029724329,20.86531499954468,1.4761904761904763,10777,2419850,1.5238095238095237,108.28571428571429,0.0013585434,0.0013585434,0.0,1.0256804,9767.695113658905,0.15114927048260385
0.0039415127,18.919818138383608,1.1162790697674418,10820,2429889,1.8837209302325582,99.55813953488372,0.0023800146,0.0023800146,0.0,1.0124358,9808.120580673218,0.1420598006644518
0.0053056446,19.746272838776505,1.024390243902439,10861,2439904,1.975609756097561,104.5609756097561,0.0018123108,0.0018123108,0.0,1.0147861,9848.49873304367,0.13941463414634148
0.0031175553,19.79296731298837,1.2325581395348837,10904,2449780,1.7674418604651163,105.13953488372093,0.0013345251,0.0013345251,0.0,1.0135623,9889.213986158371,0.15144685794118234
0.00435517,21.40676122501401,1.146341463414634,10945,2459969,1.853658536585366,113.04878048780488,0.0013925883,0.0013925883,0.0,1.0409578,9929.513309955597,0.15158188153310106
0.0054865093,20.37471078804831,1.175,10985,2469752,1.825,107.1,0.0018277334,0.0018277334,0.0,1.0659939,9970.700292110443,0.14543030303030308
0.0039300737,18.981673441460533,1.1666666666666667,11027,2479754,1.8333333333333333,100.78571428571429,0.0015429138,0.0015429138,0.0,1.0517124,10010.66058254242,0.13438095238095238
0.0027906452,17.409768859341554,1.4893617021276595,11074,2489827,1.5106382978723405,91.85106382978724,0.0010995953,0.0010995953,0.0,1.0499417,10051.239216566086,0.1303776235131734
0.0048967446,17.52440817063822,1.4186046511627908,11117,2499850,1.5813953488372092,93.13953488372093,0.001997471,0.001997471,0.0,1.0198324,10090.940066814423,0.137499796001632
0.00432459,18.02092479954758,0.8,11157,2509850,2.2,95.7,0.0018296262,0.0018296262,0.0,1.0245353,10132.201135396957,0.12760000000000002
0.0037433314,15.550973728036443,0.6904761904761905,11199,2519864,2.3095238095238093,82.07142857142857,0.0010236267,0.0010236267,0.0,1.0267816,10172.531064510345,0.111978835978836
0.0026802358,16.222928689420097,0.9047619047619048,11241,2529866,2.0952380952380953,85.07142857142857,0.0012020869,0.0012020869,0.0,1.0228262,10212.485719919205,0.11342857142857146
0.0033037402,16.395042662349457,0.7317073170731707,11282,2539867,2.268292682926829,85.97560975609755,0.0013721833,0.0013721833,0.0,1.0670017,10253.439651727676,0.11463414634146349
0.0035673315,18.36051321377548,1.075,11322,2549867,1.925,95.175,0.0015175705,0.0015175705,0.0,1.0832034,10293.927577018738,0.1269
0.0042898837,17.00900139692187,0.8809523809523809,11364,2559913,2.119047619047619,90.42857142857143,0.0016063822,0.0016063822,0.0,1.084286,10333.857308864594,0.12102990033222596
0.0044777305,17.349032258814812,1.1428571428571428,11406,2569921,1.8571428571428572,91.14285714285714,0.0019004521,0.0019004521,0.0,1.0801537,10373.288981437683,0.12152380952380952
0.0045085857,17.644855673887893,1.0465116279069768,11449,2579984,1.9534883720930232,92.16279069767442,0.0015286906,0.0015286906,0.0,1.0958711,10412.836587667465,0.12529286558927866
0.0034183308,18.294784271722904,1.2727272727272727,11493,2589825,1.7272727272727273,95.6590909090909,0.0016393438,0.0016393438,0.0,1.104419,10452.225744962692,0.1378132372073322
0.0041596564,19.255338283988102,1.565217391304348,11539,2599879,1.434782608695652,100.82608695652173,0.0014977554,0.0014977554,0.0,1.1095537,10492.004677772522,0.15146362724802134
0.0031114358,20.999981902902068,1.3571428571428572,11581,2609899,1.6428571428571428,108.28571428571429,0.0015319769,0.0015319769,0.0,1.1101807,10531.213451385498,0.1469915966386555
0.004102453,20.89661120671505,1.3170731707317074,11622,2619763,1.6829268292682926,111.21951219512195,0.0015577087,0.0015577087,0.0,1.1022959,10571.40589928627,0.15169731081926205
0.004330189,18.967233719807282,1.851063829787234,11669,2629843,1.148936170212766,98.55319148936171,0.0016963816,0.0016963816,0.0,1.0944672,10611.257838249207,0.16269275182916326
0.002452015,20.977068053932257,1.4634146341463414,11710,2639844,1.5365853658536586,110.48780487804878,0.0011154892,0.0011154892,0.0,1.09692,10651.093787908554,0.1473170731707317
0.0030839462,19.787690989174497,1.2619047619047619,11752,2649908,1.7380952380952381,104.07142857142857,0.0017022133,0.0017022133,0.0,1.0747718,10690.641123771667,0.1450244221187617
0.002981271,20.140657450555373,1.2325581395348837,11795,2659937,1.7674418604651163,107.09302325581395,0.0009823588,0.0009823588,0.0,1.0767831,10729.66248869896,0.14432730404823427
0.0034793986,21.172349277489484,1.3658536585365855,11836,2669998,1.6341463414634145,109.97560975609755,0.0011937342,0.0011937342,0.0,1.0983402,10769.452425003052,0.14814554178328668
0.0028286169,20.428287835550577,1.380952380952381,11878,2679811,1.619047619047619,106.07142857142857,0.0010354279,0.0010354279,0.0,1.0793447,10809.083536863327,0.14489138987689715
0.003691682,19.752939939544486,1.6363636363636365,11922,2689838,1.3636363636363635,103.56818181818181,0.001740618,0.001740618,0.0,1.0584109,10849.029121160507,0.14798446626240863
0.0063852253,20.90217969396147,1.6744186046511629,11965,2699858,1.3255813953488371,109.81395348837209,0.0016007161,0.0016007161,0.0,1.0379641,10889.420703411102,0.15644432645284267
0.004275982,19.6253291367486,1.5909090909090908,12009,2709924,1.4090909090909092,102.54545454545455,0.0014307826,0.0014307826,0.0,1.0160514,10929.021355390549,0.1409352346999406
0.003798126,20.263228148439545,1.0,12050,2719931,2.0,107.04878048780488,0.0014888275,0.0014888275,0.0,1.0163615,10968.294276714325,0.1461184668989547
0.003007836,20.519743298992335,1.2439024390243902,12091,2729946,1.7560975609756098,107.92682926829268,0.0015464302,0.0015464302,0.0,1.0392458,11007.793608427048,0.14695934959349594
0.003924689,19.34887674102897,1.2093023255813953,12134,2739983,1.7906976744186047,101.23255813953489,0.0015426473,0.0015426473,0.0,1.0058467,11047.341783285141,0.14177332475411344
0.004045958,21.37109685726761,0.875,12174,2749983,2.125,112.8,0.001970296,0.001970296,0.0,1.0103892,11086.76198387146,0.15040000000000003
0.0035520806,19.85548621563573,1.325,12214,2759983,1.675,104.55,0.0012553991,0.0012553991,0.0,0.99822915,11125.714015245438,0.13939999999999997
0.0051824413,22.03744673857686,1.3414634146341464,12255,2769998,1.6585365853658536,116.5609756097561,0.0019844482,0.0019844482,0.0,0.9876676,11164.544311285019,0.15694308943089427
0.0037820619,21.61896584887958,1.25,12295,2779998,1.75,112.8,0.001632017,0.001632017,0.0,1.0203891,11203.587392807007,0.1504
0.003660725,21.69904856039599,1.25,12335,2789998,1.75,114.15,0.0018990237,0.0018990237,0.0,1.0199585,11242.954264640808,0.15219999999999997
0.0058788387,21.36545942940384,1.3,12375,2799998,1.7,113.025,0.0014576802,0.0014576802,0.0,1.0209929,11282.032102823257,0.15070000000000003
0.0027151678,21.40575141340934,1.2,12415,2809753,1.8,111.0,0.001278864,0.001278864,0.0,1.0086659,11320.81584739685,0.14800000000000002
0.005135056,20.159969168658183,1.255813953488372,12458,2819760,1.744186046511628,107.37209302325581,0.0017198364,0.0017198364,0.0,0.95800346,11360.56792640686,0.14316279069767443
0.0047131674,21.02913843220494,1.170731707317073,12499,2829761,1.829268292682927,110.85365853658537,0.0017965363,0.0017965363,0.0,0.95555,11399.553067922592,0.1478048780487805
0.0038647894,20.46602081909012,1.380952380952381,12541,2839815,1.619047619047619,106.71428571428571,0.001646757,0.001646757,0.0,0.97150964,11438.050690412521,0.14700529100529103
0.0027049554,20.592964758573086,1.372093023255814,12584,2849884,1.627906976744186,108.0,0.0016264465,0.0016264465,0.0,0.97441,11476.183873653412,0.15103440725046124
0.0045091594,19.01956189673427,1.6304347826086956,12630,2859938,1.3695652173913044,99.52173913043478,0.0018839276,0.0018839276,0.0,0.9556751,11513.910860538483,0.14400966183574881
0.0029476068,21.931341268230916,1.525,12670,2869938,1.475,117.45,0.0013535472,0.0013535472,0.0,0.9450216,11551.751471042633,0.15660000000000002
0.0044233035,21.64517669951395,1.5476190476190477,12712,2879841,1.4523809523809523,112.07142857142857,0.0017550761,0.0017550761,0.0,0.96551484,11588.925161123276,0.15946531048520401
0.0025541703,20.39860368499335,1.5238095238095237,12754,2889804,1.4761904761904763,105.78571428571429,0.0015744542,0.0015744542,0.0,0.9677866,11626.75130033493,0.14606572428358225
0.0044921925,21.622178409327017,1.627906976744186,12797,2899851,1.372093023255814,113.23255813953489,0.002154887,0.002154887,0.0,0.9799845,11664.66326713562,0.1574034378159757
0.003922676,22.781611885459494,1.475,12837,2909851,1.525,118.725,0.0020775488,0.0020775488,0.0,0.96295077,11701.94431400299,0.1583
0.0049997475,23.069482515030355,1.3414634146341464,12878,2919852,1.6585365853658536,120.4390243902439,0.0023333053,0.0023333053,0.0,0.9597168,11740.1788418293,0.16058536585365854
0.005125994,20.660378589934137,1.3863636363636365,12922,2929966,1.6136363636363635,108.13636363636364,0.0024881896,0.0024881896,0.0,0.93432593,11778.032502412796,0.17304683195592285
0.0050356905,20.12855143930694,1.4651162790697674,12965,2939985,1.5348837209302326,104.30232558139535,0.0020460843,0.0020460843,0.0,0.9150402,11815.780747413635,0.1390697674418605
0.0027866533,21.99592547071912,1.125,13005,2949985,1.875,116.1,0.0014831859,0.0014831859,0.0,0.91758555,11853.392724752426,0.1548
0.0036342388,20.915806831745606,1.55,13045,2959756,1.45,109.2,0.0017391999,0.0017391999,0.0,0.9101416,11890.242641925812,0.1488714285714286
