optimgain,Fce,entloss,TimestepsSoFar,TtR,entropy,AttC,meankl,MtR,AttNC,surrgain,EpisodesSoFar,TimeElapsed
0.0018450719,0.18009999999999998,0.0,1369827,135.075,0.11218033,0.325,0.0052666077,24.878193249250973,2.675,0.0018450719,5808,5635.906794309616
0.0011974203,0.18,0.0,1379827,135.0,0.10691074,0.225,0.0027744034,25.347271488713343,2.775,0.0011974203,5848,5676.6775732040405
0.0017429631,0.20309999999999997,0.0,1389827,152.325,0.04089395,0.075,0.0075867153,28.13317323374945,2.925,0.0017429631,5888,5717.089209794998
0.0015484944,0.21810000000000002,0.0,1399827,163.575,-0.030374492,0.05,0.008167529,30.410053549323727,2.95,0.0015484944,5928,5758.219397306442
0.0009780589,0.20190000000000002,0.0,1409827,151.425,-0.08922852,0.15,0.0053557917,28.397783818285518,2.85,0.0009780589,5968,5799.2448053359985
0.001105647,0.21790000000000004,0.0,1419827,163.425,-0.075282045,0.025,0.0059084664,30.211609369488308,2.975,0.001105647,6008,5839.7190725803375
0.0013501114,0.22119999999999998,0.0,1429827,165.9,-0.05583162,0.1,0.0052298256,30.95415595148924,2.9,0.0013501114,6048,5880.792496204376
0.0010510753,0.2082,0.0,1439827,156.15,-0.08493574,0.05,0.0053724456,29.13488356474907,2.95,0.0010510753,6088,5922.2625098228455
0.0016787287,0.22340000000000004,0.0,1449827,167.55,-0.12452105,0.0,0.0066376384,31.32370295768522,3.0,0.0016787287,6128,5962.111312627792
0.001198587,0.20520000000000005,0.0,1459827,153.9,-0.14428699,0.025,0.0062392415,28.64973078591429,2.975,0.001198587,6168,6003.2789940834045
0.0015986542,0.22360000000000002,0.0,1469827,167.7,-0.094922826,0.0,0.0062641692,31.251049120419516,3.0,0.0015986542,6208,6043.622185230255
0.0028243638,0.2,0.0,1479827,150.0,-0.15792342,0.1,0.0072743427,28.17110892542978,2.9,0.0028243638,6248,6084.519659519196
0.0023966115,0.20390000000000003,0.0,1489827,152.925,-0.21813874,0.1,0.0076011815,28.355815488443017,2.9,0.0023966115,6288,6125.589239358902
0.00080574176,0.20740000000000003,0.0,1499827,155.55,-0.19229667,0.025,0.008210349,28.90642992891872,2.975,0.00080574176,6328,6166.836251497269
0.0009008814,0.20459999999999998,0.0,1509827,153.45,-0.19612552,0.025,0.008914219,28.188413935134342,2.975,0.0009008814,6368,6207.906057834625
0.0025508306,0.1988,0.0,1519827,149.1,-0.25183442,0.075,0.0070600715,28.041361382406528,2.925,0.0025508306,6408,6249.047082901001
0.0022859517,0.21190000000000003,0.0,1529827,158.925,-0.22427809,0.0,0.004961164,29.5793125316333,3.0,0.0022859517,6448,6291.058619260788
0.0014554397,0.21639999999999998,0.0,1539827,162.3,-0.28775385,0.0,0.006328028,29.948469952953626,3.0,0.0014554397,6488,6331.439337968826
0.001354465,0.20950000000000002,0.0,1549827,157.125,-0.26448035,0.025,0.005176446,28.65599163366149,2.975,0.001354465,6528,6372.461160182953
