TimestepsSoFar,MtR,Tbt,MpbtA,EpisodesSoFar,MpbtN,Tmc,surrgain,meankl,AttNC,entloss,Tmt,AttC,Ptt,TtR,optimgain,TimeElapsed,entropy
3059803,-35.59056645965375,333771.4871794872,23.058228374756997,15220,76.94177162524299,22.512820512820515,0.002579619,0.009814797,0.8717948717948718,0.0,81.48717948717949,0.1282051282051282,79.25160910035935,-62.69230769230769,0.002579619,41374.409794569016,0.13363232
3069928,-35.46537045947648,334578.5263157895,23.85322288989849,15258,76.1467771101015,22.289473684210527,0.0033190888,0.009721764,1.0,0.0,81.6842105263158,0.0,79.45333115374711,-62.23684210526316,0.0033190888,41481.391600608826,0.12736636
3079824,-34.42096018770079,332883.02702702704,24.416087368482223,15295,75.58391263151776,22.675675675675677,0.0025658165,0.007975234,1.0,0.0,81.27027027027027,0.0,79.09158111206446,-61.432432432432435,0.0025658165,41582.57088923454,0.12859969
3089940,-36.09195467403923,334611.6923076923,22.560505481422634,15334,77.43949451857738,22.307692307692307,0.003506995,0.008463947,0.9487179487179487,0.0,81.6923076923077,0.05128205128205128,79.44331008931118,-63.282051282051285,0.003506995,41687.084681749344,0.12409912
3099973,-36.94597944965787,337027.28205128206,21.680277709427685,15373,78.31972229057234,21.666666666666668,0.0029844402,0.009046062,1.0,0.0,82.28205128205128,0.0,80.03175483818765,-64.43589743589743,0.0029844402,41793.637261390686,0.1164916
3109844,-36.15896157482266,333824.0,22.396209558619674,15411,77.60379044138033,22.44736842105263,0.0055680084,0.009015788,0.9736842105263158,0.0,81.5,0.02631578947368421,79.30477424614013,-63.26315789473684,0.0055680084,41902.57998728752,0.13455433
3119948,-35.86819424058753,336842.1052631579,23.383237939604243,15449,76.61676206039574,21.710526315789473,0.0047830977,0.0113689285,1.0,0.0,82.23684210526316,0.0,79.9884537318047,-63.0,0.0047830977,42009.27001667023,0.14377733
3129845,-36.3811394785391,336076.8,21.89580046292454,15489,78.10419953707544,21.875,0.003865715,0.008911316,0.725,0.0,82.05,0.275,79.83202507590102,-64.1,0.003865715,42119.07190489769,0.12697968
3139908,-36.259998925401,335451.89743589744,22.423474599011122,15528,77.57652540098887,22.076923076923077,0.0038517388,0.008791237,0.9230769230769231,0.0,81.8974358974359,0.07692307692307693,79.65314282066808,-63.53846153846154,0.0038517388,42223.71425795555,0.14382114
3149886,-36.429534560253735,335661.9487179487,23.074240016949982,15567,76.92575998305004,22.0,0.0053875013,0.010356475,0.8974358974358975,0.0,81.94871794871794,0.10256410256410256,79.71940447634822,-63.05128205128205,0.0053875013,42330.354200839996,0.15056731
3159796,-37.58046910166928,336371.51219512196,22.250448815715238,15608,77.74955118428474,21.853658536585368,0.0041055144,0.009294881,0.8780487804878049,0.0,82.1219512195122,0.12195121951219512,79.86037480664793,-63.90243902439025,0.0041055144,42440.9007704258,0.13805892
3169933,-34.45493998346181,334147.36842105264,24.86850165307785,15646,75.13149834692213,22.394736842105264,0.0040411362,0.009212778,0.9210526315789473,0.0,81.57894736842105,0.07894736842105263,79.35528584317787,-61.3421052631579,0.0040411362,42547.33955740929,0.15284878
3179757,-36.62681133527944,335872.0,22.672963246667056,15686,77.32703675333295,21.95,0.007695343,0.010059609,0.9,0.0,82.0,0.1,79.76824529804279,-63.425,0.007695343,42655.14534783363,0.14145447
3189775,-35.940365160503895,334926.76923076925,22.799404434774537,15725,77.20059556522546,22.17948717948718,0.0024340362,0.010048294,0.9487179487179487,0.0,81.76923076923077,0.05128205128205128,79.55404174676349,-63.12820512820513,0.0024340362,42759.80696773529,0.16663203
3199886,-36.760645129660055,336262.09523809527,22.91715195789528,15767,77.08284804210473,21.857142857142858,0.0045578675,0.009063771,0.6904761904761905,0.0,82.0952380952381,0.30952380952380953,79.8535688586014,-63.30952380952381,0.0045578675,42874.77279186249,0.13981901
